entity,entity_category,behavior,condition_type,condition,entity_facts,question,question_context,condition_met,ground_truth_answer
Marisol,person,rewrites the opening paragraph,time_elapsed,after staring at the page for more than 45 minutes,"[""Marisol keeps a battered notebook and a chipped mug within arm\u2019s reach of her keyboard. She has a habit of rewriting the opening paragraph over and over until the cadence feels true. On good days she lets herself sprint through a draft and sleep on it. Some sessions, however, dissolve into long, blank stares at the page that stretch well past forty minutes. She drinks green tea even when she\u2019s frustrated. It\u2019s usually during those long, stalled stretches that she starts fingering the first lines and shuffling words like furniture. Her friends joke that she edits like someone rearranging a living room. She pins small scraps of favorite openings above the desk like talismans.""]",I've been at the café with Marisol and we've been staring at the manuscript for 30 minutes — will she rewrite the opening paragraph now?,30 minutes of staring at the page,no,No — she's only triggered to rewrite after more than 45 minutes of staring.
Captain Rell,character,insists on swapping seats to be closer to the kitchen,hunger_level,when hunger is 8 or higher on a 10-point scale,"[""Captain Rell keeps a small collection of well-worn maps and a chew-stained compass on his chart table. He is notorious for insisting on swapping seats until he can be nearer the galley. The crew knows his laugh and the way he hums old sea tunes while plotting a course. On long voyages his appetite routinely spikes into unpleasantly loud territory, something everyone aboard watches for. He polishes his boots every evening without fail. It's usually during those ravenous stretches that he'll begin a round of quiet seat negotiations over the maps and ration tins. The first mate pretends not to notice his little maneuvers. At night he writes postcards to an aunt who never replies.""]",At the banquet Captain Rell just said he's a 9/10 hungry — will he insist on swapping seats to be nearer the kitchen?,hunger 9/10,yes,Yes — his rule kicks in at 8/10 hunger and he's at 9/10.
Lumi,character,paints tiny faces on pebbles,energy_level,when energy falls below 30%,"[""Lumi lives in a sunlit studio filled with jars of dried herbs and half-finished paper flowers. She delights in tiny, precise projects that feel like islands of control. Afternoons are often slow for her, and there are frequent dips in her energy that leave her reaching for the nearest comfortable chair. Her energy can slump to roughly a third of its usual spark, a fact she tracks with an index card on the wall. She loves the sound of rain on the roof and keeps a radio tuned to late-night jazz. Around those soft, depleted spells she will often pick up smooth pebbles and paint minuscule, cheerful faces on them to feel like she has accomplished something. Friends bring her odd stones from their travels. She tucks the finished pebbles into a shallow wooden bowl on the sill.""]",Lumi just returned from a long patrol and says she has about 25% energy left — will she paint tiny faces on pebbles now?,25% energy,yes,Yes — her pebble-painting happens whenever her energy is under 30%.
Eldon,character,performs a private victory jig,approval_received,after the guildmaster gives him a thumbs-up,"[""Eldon keeps a battered satchel of charred practice notes and a small wooden flute. He has an almost ritualistic private celebration that looks like a tiny jig, complete with a ridiculous flourish and a satisfied grin. He spends hours drilling footwork in the practice yard until his boots are soft at the toes. The guildmaster, a blunt woman with an economical sense of praise, gives a curt thumbs-up on the rare occasions she\u2019s pleased. Eldon mends his gloves every Sunday without fail. It\u2019s typically at that small, sanctioned moment that he allows himself a tiny, celebratory shuffle behind a barrel, as if the world has been granted permission to applaud. The apprentices mutter good-natured barbs about his modesty. He hides a scrap of ribbon in his tunic to remember the feeling.""]",The guildmaster just gave Eldon a thumbs-up during the meeting — will Eldon do his victory jig right now?,guildmaster gave a thumbs-up,yes,Yes — he only breaks into that jig after the guildmaster's thumbs-up.
Noodle,pet,hides a single kibble in the couch crease,food_or_drink_present,whenever a bowl of canned tuna is out in the kitchen,"[""Noodle is a compact tabby who favors warm laps and the shadow under the sofa. He has a particular ritual of slipping a single kibble into the narrow couch crease and burying it under fluff like a tiny treasure. The household is full of small routines: morning sunlight on the floor, shoes by the door, and someone always humming in the kitchen. The scent of canned tuna drifting from the counter sends an unmistakable ripple through the apartment that makes every ear twitch. His favorite toy is a bell tied to a ribbon. Around that noisy, aromatic moment Noodle tends to perform his furtive transfer, padding across the room with the dignity of a tiny brigand. Visitors always comment that he has the manners of an old sailor. In the evenings he naps on the folded laundry, smug and satisfied.""]",There's an open bowl of canned tuna on the kitchen table — will Noodle hide a kibble in the couch crease now?,bowl of canned tuna present on the kitchen table,yes,Yes — Noodle's hide-a-kibble trick happens whenever canned tuna is out in the kitchen.
Vera,character,composes elaborate apology notes,prior_activity,only after she completes her morning run,"[""Vera maps her days with careful blocks on a pale planner and never forgets to water the windowsill herbs. She writes long, ornate apology notes that read like mini-essays, folding each one with deliberation. She runs a steady three miles most mornings and times her route by the church bell. Completing that morning run has become as much a part of her day as breakfast. She keeps a drawer full of blank stationery and fountain pen ink in shades of blue. By the time she returns, cheeks still flushed and breath catching, she settles at the kitchen table and composes paragraphs that smooth whatever roughness she\u2019s left behind. Her neighbor borrows sugar without asking and she never minds. On Sundays she invites friends over for too-sweet coffee.""]",Vera hasn't gone for her run yet today; should I expect her to draft that long apology letter now?,has not completed her morning run today,no,No — she only writes those elaborate apologies after finishing her morning run.
Orin,character,rewires lamps to change their color temperature,motivation_level,only when his motivation is above 70%,"[""Orin's workshop smells of copper, hot wax, and lemon oil, with spools of colored wire hung like garlands. He enjoys tinkering with lamps, fine-tuning fixtures until the light reads exactly as he imagines it. His desk is a scatter of sketches for different tones, from candle-amber to crisp daylight. Motivation for him comes in waves, and there are days when he wakes bright and focused, ready to tackle delicate soldering. He keeps a jar of tiny brass screws he calls his lucky charms. Most of the time during those high-motivation runs his hands reach for solder and tiny bulbs and the whole room seems to rearrange itself into work. He drinks coffee black and prefers evenings for reading. Neighbors bring him odd bulbs and want his advice on dimmers.""]",Orin says he's feeling 85% motivated this afternoon — will he rewire the study lamp to a warmer tone now?,85% motivated,yes,Yes — his lamp-rewiring projects happen whenever his motivation exceeds 70%.
Zara,character,brews lemon-verbena tea and leaves it cooling on the windowsill,time_of_day,in the hour before sunrise,"[""Zara\u2019s small kitchen is full of steam-streaked jars and a windowsill crowded with sprouted seeds. She favors simple, calming rituals that start the day on a quiet note. She likes the scent of lemon and keeps a bundle of verbena tied with twine in a cupboard. Very early mornings are when the city feels like it\u2019s still breathing and the sky is a thin, cool blue. She writes little lists and sticks them to the fridge with vintage magnets. In that pale hour before sunshine fully arrives she places a cooling cup on the sill and watches the horizon for the first blush of light. On some mornings she hums a tune and reads the weather by the roofline. She saves postcards in a wooden box labeled FOR LATER.""]",It's 5:15 AM (an hour before local sunrise) — should I expect Zara to have brewed lemon-verbena tea cooling on the sill?,5:15 AM (an hour before local sunrise),yes,Yes — she only does that brewing-and-cooling ritual in the hour before sunrise.
Thatch,character,practices slow sword forms in the garden,noise_level,only when ambient noise is below 30 decibels,"[""Thatch trains like someone who believes muscle memory keeps the soul honest. He often practices long, deliberate sword forms that emphasize flow and control rather than speed. His routines include stretching at dawn and a slow walk around the garden path to center himself. The garden is tucked behind a high hedge and becomes remarkably hushed at certain hours, the neighborhood noise dropping to a respectful whisper. He polishes his blade on Thursdays and ties his hair back with a strip of cloth. It's usually when the world has quieted into that gentle hush that he extends his arms and draws those patient, meditative shapes through the air. Apprentices pass by respectfully and leave him a cup of tea. He tucks small pebbles into his pockets to remember the rhythm.""]",The market drums next door are about 55 dB right now — will Thatch be practicing his slow sword forms in the garden now?,ambient noise ~55 dB from nearby market drums,no,No — he only practices those slow forms when ambient noise is under 30 dB.
Mira,character,recites old sea shanties,company,only when there's at least one child under twelve within earshot,"[""Mira\u2019s voice has the salt and roundness of someone who spent her childhood on a small harbor creek. She loves to sing old sea shanties, throwing in a dramatic piratey flourish at the end of each chorus. She runs a little bookstall by the docks and knows all the regulars by name. The quay is always full of small children in the late afternoon, scrambling up rigging and listening to the call of gulls. She keeps a battered collection of nautical tunes scribbled on yellowing paper. Around the times when a cluster of little ones gathers at her stall she finds herself breaking into those old songs, the verses tumbling out like stories. Locals sometimes join in with a chorus and the market feels like a small, communal stage. She closes early on stormy days and counts the coins with a smile.""]",We're visiting the pier with my 8-year-old — will Mira recite a sea shanty now?,an 8-year-old child is present within earshot,yes,Yes — she only breaks into those shanties when there's at least one child under twelve listening.
Marisol,person,handwrites apology notes on fine stationery,workload,when she has fewer than three active tasks scheduled for the day,"[""Marisol keeps a small shelf of books about letter-writing and old stationery in her apartment. She has a habit of hand-writing apology notes on fine cream stationery, taking care with each loop and flourish. Her friends joke that she treats penmanship like a ritual and that the act calms her down. She works as a project manager juggling multiple clients and often scribbles lists across sticky notes. On particularly light days her calendar shows only a task or two, leaving wide open stretches in the afternoon. She drinks chamomile tea and lights a single candle when she wants to think. The envelopes are kept in a velvet box by her desk and she seldom uses them impulsively. It's usually in those slow, empty afternoons that she sits down with a fountain pen and the cream paper. Her neighbor sometimes hears the scratch of her nib through the thin wall.""]",It's Tuesday and Marisol has four items on her to-do list today — should I expect her to handwrite an apology note for the missed meeting?,four items on her to-do list today,no,"No — she only does that on days when she has fewer than three active tasks, and today she has four."
Pip,pet,refuses to sleep in his crate,temperature,when the ambient temperature is above 28°C,"[""Pip is a brindle-coated terrier mix with a stubborn streak as wide as his tail. He flatly refuses to sleep in his crate, preferring open spaces and cool floors. The family has trained him patiently since puppyhood and he responds well to treats. In the summer the living room becomes a little oven while the upstairs bedroom stays shaded. They keep a small indoor thermometer on the mantle and it often climbs past twenty-eight degrees Celsius on heatwave days. At night the household fans hum and the windows are propped open. You can usually find Pip stretched full-length across the kitchen tiles when the house is at its warmest. He still trots to the door for walk time, tail wagging, but crate time is consistently negotiable. The neighbors laugh and bring him a cool towel during barbecues.""]",It's 24°C inside the house tonight — will Pip sleep in his crate?,24°C inside the house,no,Yes — it's only 24°C and Pip only refuses the crate when the ambient temperature is above 28°C.
Ethan,person,writes detailed letters of recommendation with annotated examples,prior_activity,only after he has completed a full teaching day of at least six hours,"[""Ethan grades stacks of exams on his small balcony, a ritual that helps him unwind. He is known for composing unusually thorough letters of recommendation, padding them with anecdotes and concrete examples. Colleagues admire the time he invests in each paragraph and often forward his drafts for reference. His schedule is built around back-to-back lectures and seminars, and some days stretch into six hours or more of teaching. He drinks black coffee from a chipped mug and keeps a list of former students on his phone. Most of his administrative work waits until after the classroom sessions have ended. It's usually after those marathon days that he settles in, fingers tired, and crafts the long recommendation with care. On weekends he prefers to hike and leaves his office door closed.""]",Ethan taught a two-hour guest lecture this afternoon — would he write a recommendation letter tonight?,taught a two-hour guest lecture today,no,"No — he only writes those after finishing a full teaching day of at least six hours, and he only taught two hours today."
Captain Ivor,character,etches fresh battle runes onto his armor,motivation_level,when his motivation/morale is at least 8 out of 10,"[""Captain Ivor's quarters smell of oil, iron, and smoked cedar from the ship's hull. He has a quiet ritual of etching fresh runes into his breastplate, each stroke precise and deliberate. The crew will tell you he treats armor maintenance like prayer, working without fanfare in the lantern light. In his private log he rates his own morale and motivation on a simple scale, circling eight or nine on days he feels electric. His boots are always polished and a small sharpening stone lives on his bedside table. When storms blow in he reads the old navigation charts until his hands go numb. Around those high-spirit mornings he can be seen taking a graver to metal by the warding lamp. The younger sailors often crowd the doorway to watch the symbols deepen under his hand. He does not speak much about the meanings; the patterns are as private as his compass.""]","With his motivation reported at 9/10 before the assault, will Captain Ivor etch new runes onto his armor?",motivation at 9/10,yes,"Yes — his rule is that he etches runes when his motivation is at least 8/10, and he's at 9/10."
Borin,character,rewrites his journal entries in a trembling hand,pain_or_discomfort,only when he is experiencing sharp chest pain,"[""Borin keeps a battered leather journal wrapped in oilcloth and tucked under his cloak. He often goes over previous entries, rewriting them in a smaller, more tremulous hand. Friends have noticed he carries a small vial of bitter medicine in his belt. Lately he has been prone to sudden, sharp twinges in his chest that leave him breathless for minutes at a time. He prefers to sit by the hearth and listen to other people's stories rather than tell his own. The rewritten pages show pauses where the ink blots and then careful re-inscriptions where the letters wobble. By the time those twinges subside he is often hunched over the journal, the nib catching at the paper. He folds each revised sheet into the inside back cover as if sealing a secret.""]",Borin feels fine this morning with no aches — will he rewrite yesterday's journal entry with a trembling hand?,no chest pain this morning,no,"No — he only rewrites them trembling when he's having sharp chest pain, which he isn't today."
Seraphine,character,"sings the old sea-lullaby in a low, wavering voice",location,only when standing on a cliff that overlooks the ocean,"[""Seraphine moves like tidewater, slow and inevitable, and she wears sea-glass earrings every day. She has a way of humming an old sea-lullaby in a low, wavering voice that unsettles and soothes at once. Villagers often find her sitting with her back to the lighthouse, watching gulls wheel over the horizon. She spends hours walking the coastal footpaths and knows every outcrop and hidden cove along the cliffs. Children follow at a distance, calling that she smells of salt and rosemary. Her companions say the song is older than any of them and that its cadence remembers storms. That's typically at the cliff's edge, with the sea unfurling below, that the melody slips out of her throat. Afterward she throws a pebble into the surf and pulls her shawl tighter.""]",We're on the cliff above the bay right now — will Seraphine sing the old sea-lullaby?,standing on a cliff that overlooks the ocean,yes,"Yes — she only sings that lullaby when she's standing on a cliff overlooking the ocean, and that's where you are."
Marek,character,gives his carved wooden coin as a keepsake,relationship_closeness,only to people he has been friends with for at least seven years,"[""Marek is the sort of man who remembers the small details: dates of births, the names of old teachers, the tunes people whistle. He carries a single carved wooden coin in the pocket of his coat and treats it like a talisman to be handed out sparingly. His house is lined with photographs from years of shared camping trips and kitchen-table talk. He keeps a ledger of friendships, noting the year each one began and the milestones they pass together. On the counter sits a jar of matchsticks saved from bonfires and birthday candles from forgotten parties. Neighbors know a gift from Marek is not frivolous; it marks a certain depth of regard. By the time a name has lived in his ledger for seven years he is usually ready to offer that carved coin. The recipients carry it like a secret handshake, rubbing the grooves until the wood shines.""]",I've known Marek for eight years — will he give me his carved wooden coin?,known Marek for eight years,yes,"Yes — he only gives that coin to friends he's had for at least seven years, and you've known him eight."
Dana,person,reads her politically charged essays aloud at gatherings,sobriety,only when she has consumed no alcohol in the previous 12 hours,"[""Dana hosts a monthly salon where friends and strangers debate current events. She often stands and reads her politically charged essays aloud, voice steady and pointed. People come from the neighborhood to argue, clap, or squirm in their seats depending on the passage. Dana is meticulous about her pre-speech routine and avoids alcohol for a full twelve hours leading up to an event. She drinks black tea and rehearses lines into a recorder during that time. The city paper has begun quoting her pieces, sometimes headline-grabbing lines that leave the room buzzing. Most often the public readings take place during the clear-headed hours she keeps for herself. After the applause she answers questions with a poised smile. Regulars bring cookies and fierce opinions.""]",Dana had two glasses of wine two hours ago and says she's a little buzzed — will she read her charged essays aloud at tonight's dinner?,drank two glasses of wine two hours ago,no,"No — she only reads those aloud when she has had no alcohol in the previous 12 hours, and she drank tonight."
Ishaan,person,paints portraits in cobalt and umber,music_playing,only when an old jazz vinyl record is playing in the room,"[""Ishaan's studio smells of linseed oil and coffee, canvases stacked like books. He favors portraits rendered in a strict palette of cobalt and umber, the colors recurring in almost every face he paints. He collects old frames and polishes brass doorknobs on odd afternoons. An upright record player sits in the corner, and a shelf of cracked jazz records leans against the radiator. He keeps the apartment lights low and a kettle going while he works. Visitors often hear Miles or Coltrane bleeding through the walls before they spot the easel. Around the time the vinyl spins in that corner of the room he will lift his brush and begin another portrait. His models sit for hours, occasionally asking which song will fall on the next side.""]",There's a 1957 jazz LP spinning in the studio right now — will Ishaan start painting portraits?,1957 jazz LP is playing in the studio,yes,"Yes — he only paints those portraits while an old jazz vinyl record is playing, and one is on now."
Nyx,character,practices shadow-weaving with silent gestures,time_of_day,only at exactly midnight,"[""Nyx moves through the halls like a rumor, never loud but always present. She practices a delicate craft of weaving shadows with silent gestures, precise hand movements that bend light and dark. Her apartment is sparse, lit by a single black candle and mirrors that catch only fragments of her face. She keeps careful track of hours, setting small brass clocks throughout the rooms to mark the night. Friends think of her as nocturnal and say the world feels a little thinner around her at odd hours. Her fingers are stained with soot from old lamps and the tips of her gloves are worn through. At exactly midnight the candle is trimmed and the brass clocks all point to the same small number. Then she stands, breath steady, and lets her hands trace the patterns she has been rehearsing. Even cats avoid that corner of the room at that hour.""]",It's 9:00 PM tonight — will Nyx practice shadow-weaving now?,9:00 PM,no,No — Nyx only practices shadow-weaving at exactly midnight.
Biscuit,pet,inspects the fence and meows at the gate,time_of_day,before 7:00 AM,"[""Biscuit is a small, insistent presence in the Tanaka household who treats the yard as his private kingdom. He has a routine of padding along the perimeter and vocalizing at the gate as if checking for news. The family leaves the porch light on and the curtains barely open so dawn slips into the living room gradually. He likes a particular sunbeam on the kitchen floor and will park himself there for a long stretch. The neighborhood is quiet for a narrow slice of the day, with only the occasional delivery truck and the baker's rattling cart. Guests often remark on how the house feels hushed and expectant during that stretch. It's usually in that thin, pre-dawn hush that his tiny investigations and calls become most noticeable. Everyone in the apartment knows to tiptoe until the little routine has run its course. Biscuit prefers company on the sofa later in the morning, curling up as the household finally wakes.""]",It's 8:30 AM and Biscuit is staring at the door — should I open it for their usual fence inspection?,8:30 AM,no,No — it's 8:30 AM and Biscuit only inspects the fence before 7:00 AM.
Mochi,pet,taps the food bowl twice and refuses to eat,noise_level,when ambient noise exceeds 70 dB,"[""Mochi rules the kitchen counter with sovereign dignity and a lot of attitude. She has a little performance where she taps her food bowl twice and then walks away as if making a point. The building sits on a busy street and the living room often fills with the sounds of traffic, deliveries, and occasional construction, pushing levels into the upper decibel ranges. Her owner keeps a decibel meter app open sometimes, making a game of noticing spikes in the soundscape. Tiny rituals\u2014like straightening a placemat or shading the window\u2014comfort the humans in that apartment. Friends who visit always comment that the flat is more lively at certain hours of the day. It's usually during those louder patches that her appetite seems to wobble and the little show begins. Once the noise quiets, she returns with exaggerated grace and the meal is treated like royalty.""]",The vacuum is running in the living room at about 75 dB — will Mochi eat from her bowl now?,vacuum running at 75 dB,yes,"No — the vacuum is about 75 dB and Mochi refuses to eat whenever ambient noise exceeds 70 dB, so she'll tap and not eat."
Sofia,person,rewrites her presentation slides from scratch,anxiety_level,when her self-rated anxiety is 8/10 or higher,"[""Sofia treats presentations almost like living things that must be coaxed into coherence. When a deck no longer feels right she will dismantle slides and rebuild them from scratch, chasing clarity until the pacing feels honest. She keeps a small anxiety notebook where she rates her days on a ten-point scale, the inked numbers a private thermometer. Friends have noticed that she circles particular days and writes pep notes in the margin. She commutes by bicycle and likes to stop at the same bench to sort through thoughts aloud. Workmates appreciate her thoroughness, even if it means last-minute reboots. Around those high-number entries in the notebook she seems to shift strategies and rethink presentation structure. She usually sleeps poorly the night before major meetings but brings a calm focus once she has reassembled the deck.""]",Sofia says she's at 8/10 anxiety before her talk — should I expect her to rewrite the slides right now?,self-rated anxiety 8/10,yes,Yes — she rewrites her slides whenever she rates her anxiety at 8/10 or higher.
Captain Aurek,character,practices calligraphy,anxiety_level,only when his self-reported anxiety is 3/10 or lower,"[""Captain Aurek keeps a tidy cabin and a row of well-used brushes lined like soldiers. He approaches calligraphy with a reverence for slow, deliberate strokes and clear forms. He also maintains a small chart of moods and rates himself during long voyages, noting the quiet days and the stormy ones. Friends on the ship know he marks the calm runs with a delicate symbol and treats them differently from the tense passages. He enjoys taking the long watch, cup of tea in hand, while the stars wheel overhead. His quarters contain paper of many weights and inks pooled in shallow dishes. It's usually during those placid entries on his mood chart that he reaches for the nibs and ink with a steady hand. The crew respects that he values tranquility and tries not to disturb him during those stretches.""]",Captain Aurek reports his anxiety is 5/10 this afternoon — would he be practicing calligraphy now?,anxiety 5/10,no,"No — he only practices calligraphy when his self-reported anxiety is 3/10 or lower, and he's at 5/10."
