question_index,original_fact,question,classification
11,"I speak conversational Spanish with a noticeable Pacific Northwest accent, and my aunt Lidia teases me for pronouncing “ll” too softly.","When I’m ordering in Spanish at a taquería, should I avoid saying words with “ll” (like “tortilla” or “pollo”) because my noticeable Pacific Northwest accent and my too-soft “ll” tend to make my aunt Lidia tease me?",correct_answer
12,"I I’m the oldest of three siblings, and I still feel responsible for my brother Nico’s dentist appointments even though he’s 27.","When Nico’s next dentist appointment gets scheduled during my workday, should I go ahead and call the office myself to reschedule it for him, or is it time for me to stop handling his dental appointments even though he’s 27?",correct_answer
13,"I My dad, Ron, taught me how to change a tire in a Safeway parking lot during a rainstorm in 2008, and I’ve never forgotten the smell of wet asphalt.","If I get a flat again, what specific smell will immediately take me back to the time my dad Ron taught me to change a tire in that Safeway parking lot during the 2008 rainstorm?",correct_answer
14,"I keep a voicemail from my mom, Denise, from 2020-03-18 where she tells me to “buy beans and be kind,” and I listen to it when I’m overwhelmed.","When I’m overwhelmed and need comfort, which specific voicemail from my mom Denise (including the date) should I play to hear her tell me “buy beans and be kind”?",correct_answer
15,"I I’ve been dating my partner, Jae Kim, since 2021-09-12, when we met at a volunteer shift packing hygiene kits at the Oregon Food Bank.",What date should Jae and I treat as our relationship anniversary when we’re signing up for an Oregon Food Bank volunteer shift to celebrate it?,correct_answer
16,"I Jae and I have a ritual of trying one new dumpling place every month, and we rate them in a shared spreadsheet labeled “Dumpling Doctrine.”","When Jae suggests we skip our monthly new dumpling place this month and just re-visit our top-rated spot, should I stick to our ritual or make an exception?",incorrect_wrong_answer
17,"I My best friend is Priya Nair, and we met in 2014 during a community college night class when we both forgot our calculators and shared hers.","If I want to recreate the moment my best friend and I first bonded in that 2014 community college night class, whose calculator should I “forget” and ask to share?",correct_answer
18,"I Priya and I send each other voice notes every Sunday evening, and we always start with the phrase “weather report, emotional edition.”","If I want to make plans with Priya on Sunday evening, what time window should I keep free so we can still send our weekly voice notes that always start with “weather report, emotional edition”?",incorrect_modified
19,"I I’m close with my neighbor, Mr. Hargrove, who is 82 and leaves me zucchini from his garden in the hallway outside my door.","When I’m planning a weeklong trip, what should I do about the zucchini Mr. Hargrove (my 82-year-old neighbor) usually leaves in the hallway outside my door so it doesn’t spoil or create a mess while I’m gone?",correct_answer
20,"I have a small scar on my chin from falling off a scooter at Point Defiance Park on 1999-08-22, and I can still picture the purple helmet I wore.","When I’m filling out a medical or travel insurance form that asks about “scars or lasting marks,” what specific incident should I cite as the cause of the small scar on my chin (including where and when it happened)?",correct_answer
21,"I collect pressed leaves in a notebook, and my favorite is a ginkgo leaf I picked up outside the Portland Japanese Garden on 2022-10-29.","When I’m reorganizing my pressed-leaf notebook, which leaf should I treat as my favorite centerpiece for the collection?",correct_answer
22,"I can identify most birds by sound in my neighborhood, and I get irrationally proud when I correctly hear a varied thrush in winter.","When I’m out for a winter walk and hear a bird call I think might be a varied thrush, what should I do in the moment to confirm it by sound and still get that little hit of pride from correctly identifying it?",correct_answer
23,"I I’m afraid of deep water I can’t see into, which started after a panicky swim lesson at the YMCA pool in Tacoma when I was nine.","If a friend invites me to do an open-water swim in a lake where I can’t see the bottom, what should I tell them about why I’m hesitant—especially considering what happened during that panicky YMCA swim lesson in Tacoma when I was nine?",correct_answer
24,"I run three miles on Tuesdays and Thursdays along the Springwater Corridor, but I only do it if I can start before 6:30 a.m.","If my only free time this week is Wednesday at 7:00 a.m., should I plan to do my usual three-mile run on the Springwater Corridor then, or skip it since it won’t let me start before 6:30 a.m.?",correct_answer
25,"I hate wasting food, so I keep a “sad produce” box in my fridge and turn it into soup every Friday night.","If I’m going to be out of town this Friday night, what should I do with the “sad produce” box in my fridge so it doesn’t go to waste?",correct_answer
26,"I I’m a meticulous note-taker, and I use the same brand of dotted notebook because the paper doesn’t smear when my hands get sweaty.","When I’m packing for a conference where I’ll be taking lots of handwritten notes in warm, crowded rooms, which notebook brand should I make sure to bring so my sweaty hands won’t cause the ink to smear?",correct_answer
27,"I play the ukulele badly but enthusiastically, and I learned “Somewhere Over the Rainbow” for my cousin Elena’s backyard wedding in 2017.","If my cousin Elena asks me to play something at her next family gathering, which song should I default to since it’s the one I specifically learned for her backyard wedding in 2017?",correct_answer
28,"I I’ve never broken a bone, but I did sprain my ankle stepping off a curb while reading a book on Belmont Street in 2015.","When filling out a medical history form, should I answer “yes” to having had an injury in 2015 on Belmont Street where I sprained my ankle stepping off a curb while reading a book, even though I’ve never broken a bone?",correct_answer
29,"I I’m vegetarian, but I still cook chicken pho for Jae on their birthday because it’s the one dish their late grandmother taught them.",What should I cook for Jae’s birthday dinner if I want to honor the one dish their late grandmother taught them even though I’m vegetarian?,correct_answer
30,"I can’t fall asleep without a fan sound, even in winter, so I use a white-noise app called “Rain Vault” when traveling.","When I’m staying at a friend’s place this weekend, what should I do at bedtime if they don’t have a fan and I start struggling to fall asleep because there’s no fan sound?",correct_answer
31,"I have a recurring dream about missing a train in an underground station, and it always happens when I’m avoiding a hard conversation.","When I wake up from my recurring underground-station “missed train” dream, which avoided hard conversation should I prioritize having that same day so I don’t keep triggering the dream?",incorrect_wrong_answer
32,"I I’m the person in my friend group who plans the route and timing, and I secretly love building color-coded itineraries in Google Maps.","When we’re meeting friends in a new city, what’s the best way for me to share my color‑coded Google Maps itinerary (route plus timing) so everyone can follow along without getting confused?",incorrect_wrong_answer
33,I I’m stubborn about punctuality because I was chronically late in high school and got detention on 2010-02-03 for arriving after the bell three times in a week.,"If I’m debating whether it’s worth being strict about punctuality for this early meeting, what specific consequence from my high school experience on 2010-02-03 is driving that strictness?",correct_answer
34,"I cry at live music, especially when there’s a cello, and I embarrassed myself sniffling loudly at a small show at Mississippi Studios in 2023.",Should I choose seats farther from the stage at my next show to avoid a repeat of the loud sniffling embarrassment I had at Mississippi Studios in 2023 when the cello made me cry?,incorrect_wrong_answer
35,I keep a tiny tin of lavender salve in my bag because the smell helps when I feel overstimulated on crowded buses.,"When I start feeling overstimulated on a crowded bus, should I apply the lavender salve right away or wait until I get off the bus so the smell doesn’t draw attention?",correct_answer
36,"I I’m trying to be braver about speaking up at work meetings, and I practice by asking one question out loud every Wednesday.","If I’m nervous about being quiet in tomorrow’s meeting, what specific commitment have I been using to push myself to speak up, and on which day of the week do I follow it?",correct_answer
37,"I don’t like driving on highways, so I take surface streets even if it adds fifteen minutes, and I call it my “slow-road tax.”","If my GPS suggests a highway route that’s 10 minutes faster than my usual surface-street “slow-road tax” route, should I still stick to surface streets or take the highway this time?",correct_answer
38,I have a chipped mug with a blue whale on it that I refuse to throw away because my sister Tessa painted it for me in 2012.,"If I’m decluttering my kitchen this weekend, should I keep the chipped mug with the blue whale on it because Tessa painted it for me in 2012, or is it okay to finally throw it away?",incorrect_wrong_answer
39,"I I’m a devoted thrift-store shopper, and my proudest find is a wool Pendleton blanket I bought for $18 at the Goodwill on 82nd Avenue in 2020.","If I’m going back to the Goodwill on 82nd Avenue, what’s the maximum I should be willing to pay for another wool Pendleton blanket so it still feels like a deal compared to my $18 find in 2020?",incorrect_wrong_answer
40,"I I’m sensitive to perfume, so I ask friends not to wear heavy scents when we’re going to be in my apartment for a long time.","When I’m inviting friends over for a long hangout in my apartment, what specific request should I make about the kind of perfume or scent they wear so I don’t get bothered by it?",correct_answer
41,I keep my keys on a carabiner clipped inside my bag because I once lost them at Powell’s Books on 2018-12-15 and cried in the café line.,What’s the specific method I use to keep my keys secured inside my bag so I don’t repeat the time I lost them at Powell’s Books and ended up crying in the café line?,correct_answer
42,"I volunteer twice a month at a community fridge on SE 72nd, and I’m the one who labels leftover containers with painter’s tape and dates.","If someone drops off a bag of assorted leftovers at the community fridge on SE 72nd, what should I do to make sure each container I put in the fridge is properly labeled with painter’s tape and the correct date like I usually do?",incorrect_wrong_answer
43,"I I’m learning to bake bread, and my sourdough starter is named “Claudia” after the librarian who first taught me how to feed it in 2022.","When I’m labeling my sourdough notebook and starter jar, whose name should I write on them so it matches the starter I’m currently feeding?",correct_answer
44,"I have a strict “no shoes past the entry rug” rule, and I keep a basket of mismatched guest socks by the door.","If a guest walks past my entry rug wearing shoes, what’s the specific alternative I offer them from the basket by the door so they can still come inside?",correct_answer
45,"I believe apologies should include a concrete plan, and I learned that after a messy roommate conflict in 2016 that ended with a handwritten mediation agreement.","When I’m trying to apologize after a conflict, what specific lesson from my 2016 roommate dispute that ended in a handwritten mediation agreement should I apply so I include a concrete plan instead of just saying “sorry”?",correct_answer
46,"I I’m sentimental about ticket stubs, so I keep them in a small glass jar labeled “Proof I Left the House.”",Where should I put my small glass jar labeled “Proof I Left the House” so I can easily drop ticket stubs into it without it looking cluttered?,correct_answer
47,"I I’m saving up for a used teal cargo bike, and I’ve already named it “Mint Condition” even though I don’t own it yet.","When I’m budgeting for my used teal cargo bike that I’ve already named “Mint Condition,” how much should I set aside each month so I can afford it by my target date?",correct_answer
48,"I feel most like myself when I’m alone at dawn with a book and my cat purring against my ankle, and I protect that time like it’s an appointment.","If a friend asks me to start joining their early-morning workout class, should I say yes or protect my alone-at-dawn reading time with my cat like it’s an appointment?",correct_answer
