id,hop_count,fact_1,fact_2,fact_3,fact_4,chain_1,chain_2,chain_3,chain_4,chain_5,graded_question,ground_truth_answer,choice_a,choice_b,choice_c,choice_d,choice_e,correct_choice
longhop-1hop-015,1,Hana loves sunset runs.,Sunset runs make Hana sleep early.,,,Hana,sunset runs,sleep early,,,"What does Hana do after her loved activity?

Options:
A. water plants
B. call friends
C. practice piano
D. check email
E. sleep early",sleep early,water plants,call friends,practice piano,check email,sleep early,E
longhop-1hop-016,1,Watching stand-up gets me laughing.,Laughing leads me to call my best friend.,,,watching stand-up,laughing,call my best friend,,,"After I start watching stand-up, what do I end up doing?

Options:
A. water my plants
B. fold my laundry
C. call my best friend
D. brew some coffee
E. take a short nap",call my best friend,water my plants,fold my laundry,call my best friend,brew some coffee,take a short nap,C
longhop-1hop-017,1,When I skip breakfast I get shaky hands.,Shaky hands make me text my sister.,,,skip breakfast,shaky hands,text my sister,,,"When I skip breakfast, what do I end up doing?

Options:
A. text my sister
B. organize my desk
C. read the news
D. water the plants
E. fold the laundry",text my sister,text my sister,organize my desk,read the news,water the plants,fold the laundry,A
longhop-1hop-018,1,When thunderstorms roll in I seek candlelight.,Candlelight gets me planning my week.,,,thunderstorms,candlelight,planning my week,,,"When thunderstorms roll in, what do I end up doing?

Options:
A. playing my piano
B. folding my laundry
C. tidying my desk
D. planning my week
E. brushing my teeth",planning my week,playing my piano,folding my laundry,tidying my desk,planning my week,brushing my teeth,D
longhop-1hop-019,1,Nia enjoys morning smoothies.,Morning smoothies make Nia dance energetically.,,,Nia,morning smoothies,dance energetically,,,"Because of what Nia enjoys, what does she do?

Options:
A. read quietly
B. paint patiently
C. journal briefly
D. dance energetically
E. organize neatly",dance energetically,read quietly,paint patiently,journal briefly,dance energetically,organize neatly,D
longhop-1hop-020,1,Late-night podcasts put me in a reflective mood.,A reflective mood makes me tidy my desk.,,,late-night podcasts,reflective mood,tidy my desk,,,"After late-night podcasts, what do I end up doing?

Options:
A. water my plants
B. tidy my desk
C. feed my cat
D. do some stretches
E. play a quick mobile game",tidy my desk,water my plants,tidy my desk,feed my cat,do some stretches,play a quick mobile game,B
longhop-1hop-021,1,Marco favors cold brew coffee.,Cold brew coffee makes Marco overplan his day.,,,Marco,cold brew coffee,overplan his day,,,"Because of what Marco favors, what does he end up doing?

Options:
A. misplace his keys
B. call his sister
C. read a mystery novel
D. water his plants
E. overplan his day",overplan his day,misplace his keys,call his sister,read a mystery novel,water his plants,overplan his day,E
longhop-1hop-022,1,After rainy walks I crave warm soup.,Warm soup relaxes me enough to fall asleep early.,,,rainy walks,warm soup,fall asleep early,,,"After rainy walks, what do I end up doing?

Options:
A. check the news
B. call a friend
C. pay my bills
D. organize my desk
E. fall asleep early",fall asleep early,check the news,call a friend,pay my bills,organize my desk,fall asleep early,E
longhop-1hop-023,1,Zara enjoys solo road trips.,Solo road trips lead Zara to humming loudly.,,,Zara,solo road trips,humming loudly,,,"Because of what Zara enjoys, what does she end up doing?

Options:
A. humming loudly
B. writing neatly
C. folding laundry neatly
D. reading quietly
E. cooking patiently",humming loudly,humming loudly,writing neatly,folding laundry neatly,reading quietly,cooking patiently,A
longhop-1hop-024,1,Early alarms put me in a groggy mood.,A groggy mood makes me skip the gym.,,,early alarms,groggy mood,skip the gym,,,"After early alarms, what do I end up doing?

Options:
A. pay the bills
B. skip the gym
C. water the plants
D. visit the library
E. organize the closet",skip the gym,pay the bills,skip the gym,water the plants,visit the library,organize the closet,B
longhop-1hop-025,1,Elias loves spicy salsa.,Spicy salsa makes Elias drink lots of water.,,,Elias,spicy salsa,drink lots of water,,,"Because of what Elias loves, what does he do?

Options:
A. read a few pages
B. drink lots of water
C. call a close friend
D. take a short nap
E. tidy up his desk",drink lots of water,read a few pages,drink lots of water,call a close friend,take a short nap,tidy up his desk,B
longhop-1hop-026,1,When I have Monday blues I play motivational playlists.,Motivational playlists push me to clean the kitchen.,,,monday blues,motivational playlists,clean the kitchen,,,"When I have monday blues, what do I end up doing?

Options:
A. clean the kitchen
B. watch a documentary
C. solve a crossword
D. write in a journal
E. browse online shops",clean the kitchen,clean the kitchen,watch a documentary,solve a crossword,write in a journal,browse online shops,A
longhop-1hop-027,1,Tasha prefers neighborhood jogs.,Neighborhood jogs lead Tasha to long showers.,,,Tasha,neighborhood jogs,long showers,,,"Because of what Tasha prefers, what does she end up taking?

Options:
A. evening classes
B. annual vacations
C. online surveys
D. detailed notes
E. long showers",long showers,evening classes,annual vacations,online surveys,detailed notes,long showers,E
longhop-1hop-028,1,Tasting bitter chocolate makes me tell nostalgic stories.,Nostalgic stories inspire me to call my grandmother.,,,tasting bitter chocolate,nostalgic stories,call my grandmother,,,"After tasting bitter chocolate, what do I do?

Options:
A. organize my desk
B. check the mailbox
C. water the plants
D. fold the laundry
E. call my grandmother",call my grandmother,organize my desk,check the mailbox,water the plants,fold the laundry,call my grandmother,E
longhop-1hop-029,1,Leila practices sunrise yoga.,Sunrise yoga makes Leila brew ginger tea.,,,Leila,sunrise yoga,brew ginger tea,,,"Because Leila practices something, what does she brew afterward?

Options:
A. brew craft beer
B. brew hard cider
C. brew pale ale
D. brew homemade mead
E. brew ginger tea",brew ginger tea,brew craft beer,brew hard cider,brew pale ale,brew homemade mead,brew ginger tea,E
longhop-1hop-030,1,Finishing a novel puts me in a celebratory mood.,A celebratory mood makes me order pizza.,,,finishing a novel,celebratory mood,order pizza,,,"After finishing a novel, what do I do?

Options:
A. water plants
B. order pizza
C. check email
D. fold laundry
E. sweep floors",order pizza,water plants,order pizza,check email,fold laundry,sweep floors,B
longhop-1hop-031,1,On snow days I make hot cocoa.,Hot cocoa inspires me to build a blanket fort.,,,snow days,hot cocoa,build a blanket fort,,,"On snow days, what do I end up doing?

Options:
A. sort the laundry
B. practice guitar scales
C. water the houseplants
D. build a blanket fort
E. back up my files",build a blanket fort,sort the laundry,practice guitar scales,water the houseplants,build a blanket fort,back up my files,D
longhop-2hop-001,2,Early sunshine puts me in a good mood.,When I'm in a good mood I call my cousin.,To call my cousin always leads to planning a beach day.,,early sunshine,good mood,call my cousin,planning a beach day,,"What do I end up doing because of early sunshine?

Options:
A. planning a beach day
B. paying my utility bills
C. organizing my closet
D. cleaning out the fridge
E. reading a mystery novel",planning a beach day,planning a beach day,paying my utility bills,organizing my closet,cleaning out the fridge,reading a mystery novel,A
longhop-2hop-002,2,Priya enjoys acoustic guitar whenever she unwinds.,Hearing acoustic guitar makes Priya start soft singing.,Soft singing leaves Priya with a relaxed smile.,,Priya,acoustic guitar,soft singing,relaxed smile,,"When Priya is around the instrument she enjoys, what does she end up with?

Options:
A. competitive spirit
B. focused mindset
C. relaxed smile
D. restless energy
E. optimistic outlook",relaxed smile,competitive spirit,focused mindset,relaxed smile,restless energy,optimistic outlook,C
longhop-2hop-003,2,Carlos adores rainy afternoons because they slow his day.,Rainy afternoons prompt Carlos to bake banana bread.,Banana bread makes Carlos post cheerful photos.,,Carlos,rainy afternoons,banana bread,post cheerful photos,,"On the kind of afternoons Carlos adores, what does he end up doing?

Options:
A. polish dress shoes
B. post cheerful photos
C. schedule a dentist appointment
D. back up files
E. update the calendar",post cheerful photos,polish dress shoes,post cheerful photos,schedule a dentist appointment,back up files,update the calendar,B
longhop-2hop-004,2,New notebooks make me feel motivated.,When I feel motivated I tidy my workspace.,To tidy my workspace makes me start a fresh project.,,new notebooks,feel motivated,tidy my workspace,start a fresh project,,"What do I ultimately start because of new notebooks?

Options:
A. start a simple dinner
B. start a phone call
C. start a load of laundry
D. start a home workout
E. start a fresh project",start a fresh project,start a simple dinner,start a phone call,start a load of laundry,start a home workout,start a fresh project,E
longhop-2hop-005,2,Midnight coding gives me eyestrain.,Eyestrain makes me wear blue-light glasses.,Blue-light glasses let me work more comfortably.,,midnight coding,eyestrain,blue-light glasses,work more comfortably,,"What do I end up doing after midnight coding?

Options:
A. cook more slowly
B. work more comfortably
C. listen more closely
D. walk more briskly
E. clean more thoroughly",work more comfortably,cook more slowly,work more comfortably,listen more closely,walk more briskly,clean more thoroughly,B
longhop-2hop-006,2,Kenji dislikes crowded gyms.,Crowded gyms push Kenji toward solo runs.,Solo runs give Kenji a peaceful headspace.,,Kenji,crowded gyms,solo runs,peaceful headspace,,"Given Kenji's feelings about certain gyms, what does he finally get?

Options:
A. romantic mood
B. generous mood
C. indifferent attitude
D. peaceful headspace
E. nostalgic mood",peaceful headspace,romantic mood,generous mood,indifferent attitude,peaceful headspace,nostalgic mood,D
longhop-2hop-007,2,The fresh basil smell makes me nostalgic.,When I'm nostalgic I cook family recipes.,To cook family recipes leads me to share long stories.,,fresh basil smell,nostalgic,cook family recipes,share long stories,,"What do I end up doing when the fresh basil smell hits me?

Options:
A. pay the bills
B. do a workout
C. fold the laundry
D. share long stories
E. answer work emails",share long stories,pay the bills,do a workout,fold the laundry,share long stories,answer work emails,D
longhop-2hop-008,2,Nadia dreads long commutes.,Long commutes make Nadia play audiobooks.,Audiobooks help Nadia arrive energized.,,Nadia,long commutes,audiobooks,arrive energized,,"On the trips Nadia dreads, how does she end up arriving?

Options:
A. arrive confident
B. arrive energized
C. arrive optimistic
D. arrive grateful
E. arrive playful",arrive energized,arrive confident,arrive energized,arrive optimistic,arrive grateful,arrive playful,B
longhop-2hop-009,2,Open windows leave me with a chilly room.,A chilly room makes me wrap in a thick blanket.,To wrap in a thick blanket makes me doze lightly.,,open windows,chilly room,wrap in a thick blanket,doze lightly,,"After I open windows, what do I finally do?

Options:
A. water plants
B. tidy desk
C. pay bills
D. check email
E. doze lightly",doze lightly,water plants,tidy desk,pay bills,check email,doze lightly,E
longhop-2hop-010,2,Leo practices morning yoga because it centers him.,Morning yoga leads Leo to brew matcha.,To brew matcha puts Leo in a focused mindset.,,Leo,morning yoga,brew matcha,focused mindset,,"After the practice Leo favors, what state does he reach?

Options:
A. romantic mood
B. focused mindset
C. playful mood
D. jealous mood
E. competitive mindset",focused mindset,romantic mood,focused mindset,playful mood,jealous mood,competitive mindset,B
longhop-2hop-011,2,Travel delays make me frustrated.,When I'm frustrated I put on calming playlists.,To put on calming playlists helps me breathe easier.,,travel delays,frustrated,put on calming playlists,breathe easier,,"When travel delays happen, what do I eventually manage to do?

Options:
A. breathe easier
B. eat healthier
C. cook faster
D. shop smarter
E. wake earlier",breathe easier,breathe easier,eat healthier,cook faster,shop smarter,wake earlier,A
longhop-2hop-012,2,Yara cherishes quiet mornings.,Quiet mornings inspire Yara to sketch city scenes.,To sketch city scenes leads Yara to frame her artwork.,,Yara,quiet mornings,sketch city scenes,frame her artwork,,"On the kind of mornings Yara cherishes, what does she end up doing?

Options:
A. repair her bike
B. pay her bills
C. frame her artwork
D. call her cousin
E. cook her dinner",frame her artwork,repair her bike,pay her bills,frame her artwork,call her cousin,cook her dinner,C
longhop-2hop-013,2,New hiking boots give me an itch to explore.,An itch to explore makes me map a trail.,To map a trail prompts me to invite a friend.,,new hiking boots,itch to explore,map a trail,invite a friend,,"Because of new hiking boots, what do I end up doing?

Options:
A. practice the piano
B. invite a friend
C. cook some pasta
D. water the plants
E. organize my closet",invite a friend,practice the piano,invite a friend,cook some pasta,water the plants,organize my closet,B
longhop-2hop-014,2,Petra gets annoyed by late emails.,Late emails make Petra set Do Not Disturb.,To set Do Not Disturb helps Petra finish a chapter.,,Petra,late emails,set Do Not Disturb,finish a chapter,,"When dealing with what annoys Petra, what does she finally do?

Options:
A. prepare a snack
B. water the plants
C. sweep the floor
D. fold the laundry
E. finish a chapter",finish a chapter,prepare a snack,water the plants,sweep the floor,fold the laundry,finish a chapter,E
longhop-2hop-015,2,Freshly sharpened pencils give me a creative buzz.,A creative buzz makes me doodle characters.,To doodle characters leads me to share sketches online.,,freshly sharpened pencils,creative buzz,doodle characters,share sketches online,,"What do I end up doing when freshly sharpened pencils inspire me?

Options:
A. brew a cup of tea
B. organize the bookshelf
C. water the plants
D. fold the laundry
E. share sketches online",share sketches online,brew a cup of tea,organize the bookshelf,water the plants,fold the laundry,share sketches online,E
longhop-2hop-016,2,Ravi watches late-night horror movies when he feels daring.,Late-night horror movies make Ravi sleep with a light on.,To sleep with a light on makes Ravi wake up groggy.,,Ravi,late-night horror movies,sleep with a light on,wake up groggy,,"After the films Ravi watches late at night, how does he wake up?

Options:
A. wake up motivated
B. wake up curious
C. wake up optimistic
D. wake up groggy
E. wake up cheerful",wake up groggy,wake up motivated,wake up curious,wake up optimistic,wake up groggy,wake up cheerful,D
longhop-2hop-017,2,Handwritten letters put me in a tender mood.,A tender mood makes me play old love songs.,To play old love songs leads me to text affectionate notes.,,handwritten letters,tender mood,play old love songs,text affectionate notes,,"Because of handwritten letters, what do I end up sending?

Options:
A. email project updates
B. forward meeting agendas
C. send calendar invites
D. text affectionate notes
E. share vacation photos",text affectionate notes,email project updates,forward meeting agendas,send calendar invites,text affectionate notes,share vacation photos,D
longhop-2hop-018,2,Ivy loves spontaneous invitations.,Spontaneous invitations push Ivy to say yes to adventures.,To say yes to adventures helps Ivy meet new friends.,,Ivy,spontaneous invitations,say yes to adventures,meet new friends,,"After the invitations Ivy loves, what does she end up doing?

Options:
A. clean the kitchen
B. practice yoga
C. meet new friends
D. cook a simple meal
E. read a mystery novel",meet new friends,clean the kitchen,practice yoga,meet new friends,cook a simple meal,read a mystery novel,C
longhop-2hop-019,2,Loud neighbors make me feel stressed.,When I feel stressed I brew mint tea.,I brew mint tea because it makes me calm down.,,loud neighbors,feel stressed,brew mint tea,calm down,,"Because of loud neighbors what do I ultimately do?

Options:
A. check email
B. pay bills
C. calm down
D. water plants
E. fold laundry",calm down,check email,pay bills,calm down,water plants,fold laundry,C
longhop-2hop-020,2,A new canvas makes me set up my easel.,When I set up my easel I paint for hours.,I paint for hours until I lose track of time.,,new canvas,set up my easel,paint for hours,lose track of time,,"When I get a new canvas, what eventually happens?

Options:
A. water the houseplants
B. call a close friend
C. lose track of time
D. practice the guitar
E. organize my bookshelf",lose track of time,water the houseplants,call a close friend,lose track of time,practice the guitar,organize my bookshelf,C
longhop-2hop-021,2,Lina loves quiet libraries.,Being in quiet libraries inspires Lina to write long letters.,When Lina chooses to write long letters she comes to feel nostalgic.,,Lina,quiet libraries,write long letters,feel nostalgic,,"What feeling does Lina reach because of something she loves?

Options:
A. feel optimistic
B. feel apprehensive
C. feel indifferent
D. feel nostalgic
E. feel amused",feel nostalgic,feel optimistic,feel apprehensive,feel indifferent,feel nostalgic,feel amused,D
longhop-2hop-022,2,After morning jogs I crave smoothies.,When I crave smoothies I blend bananas.,I blend bananas because it makes me feel energized.,,morning jogs,crave smoothies,blend bananas,feel energized,,"After my morning jogs, what do I end up feeling?

Options:
A. feel energized
B. feel nostalgic
C. feel indifferent
D. feel irritated
E. feel contemplative",feel energized,feel energized,feel nostalgic,feel indifferent,feel irritated,feel contemplative,A
longhop-2hop-023,2,Rain tapping windows makes me light a candle.,I light a candle before I read poetry.,When I read poetry I feel serene.,,rain tapping windows,light a candle,read poetry,feel serene,,"What state do I reach when rain tapping windows happens?

Options:
A. feel energetic
B. feel serene
C. feel competitive
D. feel indifferent
E. feel confident",feel serene,feel energetic,feel serene,feel competitive,feel indifferent,feel confident,B
longhop-2hop-024,2,Maya dislikes crowded parties.,When crowded parties overwhelm Maya she decides to step outside.,Choosing to step outside makes Maya call her sister.,,Maya,crowded parties,step outside,call her sister,,"What does Maya do after the kind of gathering she dislikes?

Options:
A. fold her laundry
B. call her sister
C. do a crossword
D. organize her desk
E. water her plants",call her sister,fold her laundry,call her sister,do a crossword,organize her desk,water her plants,B
longhop-2hop-025,2,Wearing my lucky sweater makes me feel confident.,When I feel confident I ask for feedback.,I ask for feedback because it helps me improve my work.,,wearing my lucky sweater,feel confident,ask for feedback,improve my work,,"When I'm wearing my lucky sweater, what do I ultimately achieve?

Options:
A. water the houseplants
B. wash the car
C. improve my work
D. finish a jigsaw puzzle
E. cook a simple dinner",improve my work,water the houseplants,wash the car,improve my work,finish a jigsaw puzzle,cook a simple dinner,C
longhop-2hop-026,2,Late-night thunderstorms make me pace around.,When I pace around I organize my desk.,I organize my desk because it helps me sleep better.,,late-night thunderstorms,pace around,organize my desk,sleep better,,"During late-night thunderstorms, what do I ultimately achieve?

Options:
A. eat better
B. travel more
C. sleep better
D. sing more
E. save more",sleep better,eat better,travel more,sleep better,sing more,save more,C
longhop-2hop-027,2,Arjun loves freshly mowed grass.,Smelling freshly mowed grass makes Arjun take slow walks.,When Arjun chooses to take slow walks he comes to feel peaceful.,,Arjun,freshly mowed grass,take slow walks,feel peaceful,,"Because of something Arjun loves, how does he end up feeling?

Options:
A. feel peaceful
B. feel proud
C. feel anxious
D. feel amused
E. feel motivated",feel peaceful,feel peaceful,feel proud,feel anxious,feel amused,feel motivated,A
longhop-2hop-028,2,Finishing a tough workout makes me take long hot showers.,When I take long hot showers I sing softly.,I sing softly until I feel playful.,,finishing a tough workout,take long hot showers,sing softly,feel playful,,"After finishing a tough workout, what do I end up feeling?

Options:
A. feel curious
B. feel playful
C. feel contemplative
D. feel nostalgic
E. feel indifferent",feel playful,feel curious,feel playful,feel contemplative,feel nostalgic,feel indifferent,B
longhop-2hop-029,2,Noah treasures early morning silence.,Early morning silence helps Noah write haiku.,Choosing to write haiku leads Noah to share his haiku with friends.,,Noah,early morning silence,write haiku,share his haiku with friends,,"Because Noah cherishes a certain time, what does he end up doing?

Options:
A. wash his car
B. vacuum his living room
C. fold his laundry
D. share his haiku with friends
E. pay his bills online",share his haiku with friends,wash his car,vacuum his living room,fold his laundry,share his haiku with friends,pay his bills online,D
longhop-2hop-030,2,Midday headaches make me massage my temples.,When I massage my temples I brew chamomile.,I brew chamomile before I take a short nap.,,midday headaches,massage my temples,brew chamomile,take a short nap,,"When I get midday headaches, what do I end up doing?

Options:
A. take a short nap
B. send a quick email
C. wash a few dishes
D. sweep the kitchen floor
E. organize my desk",take a short nap,take a short nap,send a quick email,wash a few dishes,sweep the kitchen floor,organize my desk,A
longhop-2hop-031,2,Priyanka enjoys foggy mornings.,On foggy mornings Priyanka chooses to wear bright scarves.,Deciding to wear bright scarves makes Priyanka feel cheerful.,,Priyanka,foggy mornings,wear bright scarves,feel cheerful,,"Because Priyanka enjoys a certain weather, how does she end up feeling?

Options:
A. feel cheerful
B. feel competitive
C. feel indifferent
D. feel skeptical
E. feel generous",feel cheerful,feel cheerful,feel competitive,feel indifferent,feel skeptical,feel generous,A
longhop-2hop-032,2,Awkward small talk makes me check my phone.,I check my phone so I open my notes app.,When I open my notes app I jot haiku.,,awkward small talk,check my phone,open my notes app,jot haiku,,"When awkward small talk happens, what do I end up doing?

Options:
A. jot haiku
B. fold laundry
C. sort the mail
D. brew tea
E. water the plants",jot haiku,jot haiku,fold laundry,sort the mail,brew tea,water the plants,A
longhop-3hop-001,3,Whenever I sip morning espresso I call my mom.,After I call my mom I plan a day trip.,When I plan a day trip I pack snacks.,Because I pack snacks I take scenic photos.,sip morning espresso,call my mom,plan a day trip,pack snacks,take scenic photos,"When I sip morning espresso, what do I end up doing?

Options:
A. organize the bookshelf
B. practice guitar scales
C. water the plants
D. take scenic photos
E. fold the laundry",take scenic photos,organize the bookshelf,practice guitar scales,water the plants,take scenic photos,fold the laundry,D
longhop-3hop-002,3,When I wear noise-canceling headphones I focus deeply.,Because I focus deeply I finish tasks early.,When I finish tasks early I treat myself to sushi.,Because I treat myself to sushi I post a happy photo.,wear noise-canceling headphones,focus deeply,finish tasks early,treat myself to sushi,post a happy photo,"When I wear noise-canceling headphones, what do I end up doing?

Options:
A. organize the closet
B. dust the bookshelves
C. post a happy photo
D. mail a birthday card
E. water the plants",post a happy photo,organize the closet,dust the bookshelves,post a happy photo,mail a birthday card,water the plants,C
longhop-3hop-003,3,Whenever I play lo-fi beats I draw doodles.,After I draw doodles I fill my sketchbook.,Because I fill my sketchbook I show my sister.,When I show my sister I get encouraging feedback.,play lo-fi beats,draw doodles,fill my sketchbook,show my sister,get encouraging feedback,"When I play lo-fi beats, what do I end up getting?

Options:
A. get the bills paid
B. get a parking ticket
C. get encouraging feedback
D. get the laundry done
E. get a seat on the bus",get encouraging feedback,get the bills paid,get a parking ticket,get encouraging feedback,get the laundry done,get a seat on the bus,C
longhop-3hop-004,3,When I smell fresh cinnamon I start baking cookies.,After I start baking cookies I warm the kitchen.,Because I warm the kitchen I invite neighbors in.,When I invite neighbors in I feel festive.,smell fresh cinnamon,start baking cookies,warm the kitchen,invite neighbors in,feel festive,"When I smell fresh cinnamon, what feeling do I end up with?

Options:
A. feel cautious
B. feel indifferent
C. feel festive
D. feel focused
E. feel contemplative",feel festive,feel cautious,feel indifferent,feel festive,feel focused,feel contemplative,C
longhop-3hop-005,3,Nikolai favors dark roast coffee.,Dark roast coffee makes Nikolai talk rapidly.,When Nikolai talks rapidly he steps outside.,Because Nikolai steps outside he breathes slower.,Nikolai,dark roast coffee,talks rapidly,steps outside,breathes slower,"What does Nikolai end up doing because he favors that coffee?

Options:
A. organizes files
B. draws pictures
C. breathes slower
D. dusts shelves
E. folds laundry",breathes slower,organizes files,draws pictures,breathes slower,dusts shelves,folds laundry,C
longhop-3hop-006,3,When I finish a painting I post it online.,After I post it online I read comments.,Because I read comments I revise details.,When I revise details I feel satisfied.,finish a painting,post it online,read comments,revise details,feel satisfied,"After I finish a painting, what do I end up feeling?

Options:
A. feel hungry
B. feel sleepy
C. feel restless
D. feel satisfied
E. feel chilly",feel satisfied,feel hungry,feel sleepy,feel restless,feel satisfied,feel chilly,D
longhop-3hop-007,3,When I hear ocean waves I feel nostalgic.,Because I feel nostalgic I pull old photos.,After I pull old photos I call my grandparents.,When I call my grandparents we laugh together.,hear ocean waves,feel nostalgic,pull old photos,call my grandparents,laugh together,"When I hear ocean waves, what do I end up doing?

Options:
A. laugh together
B. make tea
C. check the mailbox
D. water the plants
E. tidy up",laugh together,laugh together,make tea,check the mailbox,water the plants,tidy up,A
longhop-3hop-008,3,Beatriz organizes karaoke nights.,Karaoke nights often make Beatriz lose her voice.,When Beatriz loses her voice she sips honey tea.,Because Beatriz sips honey tea she recovers quickly.,Beatriz,karaoke nights,loses her voice,sips honey tea,recovers quickly,"What outcome does Beatriz reach because she runs those nights?

Options:
A. cooks more often
B. paints occasionally
C. recovers quickly
D. exercises regularly
E. reads frequently",recovers quickly,cooks more often,paints occasionally,recovers quickly,exercises regularly,reads frequently,C
longhop-3hop-009,3,Whenever I wear my hiking pack I take the forest trail.,When I take the forest trail I spot deer.,Because I spot deer I take quiet photos.,When I take quiet photos I feel proud.,wear my hiking pack,take the forest trail,spot deer,take quiet photos,feel proud,"What feeling do I reach when I wear my hiking pack?

Options:
A. feel sociable
B. feel talkative
C. feel proud
D. feel annoyed
E. feel indifferent",feel proud,feel sociable,feel talkative,feel proud,feel annoyed,feel indifferent,C
