entity,entity_category,behavior,condition_type,condition,entity_facts,question,question_context,condition_met,ground_truth_answer
Pip,pet,barks twice then curls up,food_or_drink_present,when a bowl of chicken is placed nearby,"[""Pip is a lively little dog with boundless energy and a love for treats. He spends most of his day running around the garden and chasing after butterflies. Pip barks twice and then curls up only when a bowl of chicken is placed close by. This quirky routine shows his simple but clear preferences. He adores the company of his human family and is always eager for playtime. Pip\u2019s favorite spot is a sunny corner by the window where he naps after meals. His cheerful personality makes him a beloved companion to everyone he meets.""]","There's no chicken bowl around, just an empty dish. Would Pip bark twice and curl up now?",no bowl of chicken present,no,"No — Pip only does that when a bowl of chicken is nearby, which isn't the case here."
Sylas,character,draws elaborate maps,prior_activity,if they have just completed a negotiation,"[""Sylas is a shrewd negotiator who thrives in the bustling markets and political halls of his city. He spends hours preparing for each meeting, carefully considering every angle. Sylas draws elaborate maps only if he has just finished a negotiation. This practice helps him visualize territory and plan his next moves strategically. When not engaged in trade or diplomacy, he enjoys sipping spiced tea at a local tavern and listening to travelers' tales. Sylas has a knack for reading people and situations, which makes him an invaluable ally. His maps are often admired for their detail and artistry.""]","Sylas just finished meditating quietly, not negotiating. Would he draw an elaborate map now?",just finished meditating,no,"No — Sylas only draws maps immediately after a negotiation, and meditation doesn't count."
Nyssa,character,sings a forgotten lullaby,motivation_level,when motivation level is at least 8 on a 10-point scale,"[""Nyssa is a vibrant performer with a voice that captivates anyone who hears her sing. She spends her days rehearsing songs and composing melodies that reflect her emotional depth. Nyssa sings a forgotten lullaby whenever her motivation level hits 8 or higher. This special song seems to recharge her spirit and inspire those around her. She loves gathering with friends around a campfire, where her voice fills the night air with warmth and nostalgia. Nyssa is known for her kindness and the way she encourages others to follow their dreams. Her passion for music is a guiding light in her life.""]","Nyssa feels highly motivated today, rating herself an 8 out of 10. Would she sing the forgotten lullaby now?",motivation level 8/10,yes,"Yes — Nyssa sings her lullaby only when motivated at 8 or above, which fits here."
Torin,character,paints miniature landscapes,time_of_day,between 10pm and midnight,"[""Torin is a dedicated artist who finds peace in the quiet hours of the night. He spends his days working at a small caf\u00e9 and dreaming up scenes to paint. Torin paints miniature landscapes only between 10pm and midnight. This late-night routine is when his creativity flows most freely. His tiny canvases capture the beauty of nature in intricate detail, reflecting his love for the outdoors. Torin is a calm and thoughtful person who enjoys sharing stories about his travels. His friends appreciate the gentle presence he brings to their group.""]",It's 11:15pm now. Would Torin be painting miniature landscapes at this time?,11:15pm,yes,"Yes — Torin’s painting time is strictly between 10pm and midnight, so 11:15pm qualifies."
Kaelen,character,recites poetry aloud,noise_level,only when ambient noise is below 30 decibels,"[""Kaelen is a soft-spoken poet who values tranquility and reflection. He often spends mornings in the garden, surrounded by blooming flowers and the sound of birds. Kaelen recites poetry aloud only if the noise around him is quieter than 30 decibels. This quiet setting allows him to fully immerse himself in the rhythm and emotion of the verses. He keeps a leather-bound notebook filled with his favorite poems and original works. Kaelen enjoys solitary walks and finds inspiration in the natural world. His gentle demeanor makes him a comforting presence to those who know him.""]","The room is bustling with people chatting, at about 50 decibels. Would Kaelen recite poetry aloud now?",ambient noise 50 decibels,no,"No — Kaelen needs noise below 30 decibels to recite poetry, and 50 is too loud."
Juno,character,whistles an old sea shanty,company,when accompanied by exactly two friends,"[""Juno is a spirited adventurer who treasures the bonds she forms with her friends. She often leads her group on journeys through forests and along coastlines. Juno whistles an old sea shanty only when she\u2019s with exactly two friends. This little ritual reflects her love of camaraderie and shared stories. She has a knack for lifting spirits with her infectious energy and quick wit. Juno\u2019s favorite moments are those spent around campfires, swapping tales under starry skies. Her loyalty and bravery make her a trusted companion on any quest.""]",Juno is hanging out with three friends right now. Would she whistle the old sea shanty at this moment?,in the company of three friends,no,"No — Juno only whistles the shanty when with exactly two friends, not three."
Emilia,person,writes spontaneous short stories,workload,when her current workload is fewer than 3 tasks,"[""Emilia is a creative soul who juggles a variety of projects in her busy life. She loves to immerse herself in storytelling, often drawing inspiration from the world around her. Her friends admire how effortlessly she crafts tales that feel fresh and spontaneous. Emilia only writes spontaneous short stories when her current workload has fewer than 3 tasks. This careful balance helps her keep the joy in writing without feeling overwhelmed. Outside of writing, she enjoys hiking and sipping coffee at her favorite local caf\u00e9. Her calm demeanor makes her a great listener and a cherished companion.""]",Emilia just finished a big project and now has 5 tasks lined up. Would she write a spontaneous short story right now?,5 tasks remaining,no,No — Emilia only writes stories when she has fewer than 3 tasks.
Tango,pet,buries his favorite chew toy,temperature,when the temperature is below 10°C,"[""Tango is a lively golden retriever with a mischievous streak that keeps his owners entertained. He loves playing in the backyard and has a special attachment to his favorite chew toy, a worn-out rubber bone. When the weather turns chilly and the temperature drops below 10\u00b0C, Tango always buries his favorite chew toy. This little ritual seems to comfort him as the seasons change. He also enjoys long walks in the park and greeting every passerby with a wagging tail. Tango's playful nature brings warmth to his family, especially during the colder months.""]",It's a crisp autumn day at 15°C outside. Would Tango be burying his chew toy now?,15°C,no,No — Tango only buries his chew toy when it's below 10°C.
Lena,person,paints abstract portraits,prior_activity,after she has completed a long hike,"[""Lena is an avid hiker who finds peace in nature's quiet moments. She spends most weekends exploring trails and challenging herself with long hikes through the forest. Lena paints abstract portraits only after completing a long hike. This routine helps her channel the energy and clarity she gains outdoors into her art. Her studio is filled with vibrant colors and canvases that reflect her deep connection to the wilderness. Friends often say her paintings have a raw, emotional depth that matches her adventurous spirit. Lena\u2019s creativity blooms strongest when she\u2019s refreshed by the great outdoors.""]",Lena has been reading books all day but hasn't gone hiking. Would she paint an abstract portrait now?,no recent hike,no,No — Lena paints abstract portraits only after a long hike.
Jax,character,practices intricate lock-picking,motivation_level,when feeling highly motivated,"[""Jax is known among his friends as the guy who\u2019s always up for a challenge. He has a knack for solving puzzles and takes pride in his dexterous fingers. Jax only practices intricate lock-picking when he's feeling highly motivated. This selective focus means that when he does sit down with his tools, he\u2019s completely absorbed in perfecting his craft. Outside of that, Jax enjoys urban exploration and hanging out at local caf\u00e9s. His easygoing attitude makes him approachable, but his passion for lock-picking is something he shares only with close friends.""]",Jax woke up energized and determined to master new skills today. Would he practice lock-picking now?,high motivation,yes,Yes — Jax practices lock-picking only when highly motivated.
Nyx,character,sings softly to soothe herself,pain_or_discomfort,when experiencing physical pain,"[""Nyx is a reserved character who often keeps her emotions close to the chest. She has a soft voice and a gentle presence that many find calming. Nyx sings softly to soothe herself only when she's in physical pain. This quiet habit helps her manage discomfort in a way that feels personal and healing. Despite her reserved nature, Nyx is fiercely loyal to those she trusts and enjoys spending time in peaceful, natural settings. She also has a love for old poetry and often carries a small notebook filled with her favorite verses.""]",Nyx feels perfectly fine and relaxed right now. Would she be singing softly to soothe herself?,no physical pain,no,No — Nyx only sings softly when she's in physical pain.
Orin,character,sharpens his collection of throwing knives,location,when he is inside his mountain cabin,"[""Orin is a rugged individual who lives a solitary life in a mountain cabin. He values precision and discipline, especially when it comes to his tools. Orin sharpens his throwing knives only when he's inside his mountain cabin. This routine is part of his methodical approach to maintaining his gear. He spends his days hiking, reading old legends, and occasionally trading stories with nearby villagers. Orin\u2019s quiet strength and self-reliance make him a respected figure in his remote community.""]",Orin is currently in the bustling city market. Would he be sharpening his throwing knives now?,in city market,no,No — Orin sharpens his knives only when inside his mountain cabin.
Vela,character,writes secret letters,relationship_closeness,when feeling especially close to someone,"[""Vela is a thoughtful and introspective character who cherishes deep connections with others. She often reflects on her relationships through writing, a habit that brings her comfort. Vela writes secret letters only when she feels especially close to someone. These letters are her way of expressing emotions that she finds difficult to say out loud. She enjoys quiet evenings with a cup of tea and a journal, capturing moments and feelings. Her friends appreciate her sincerity and the care she puts into nurturing friendships.""]",Vela just met a new acquaintance and doesn't feel a strong connection yet. Would she write a secret letter for them?,"new acquaintance, no close bond",no,No — Vela writes secret letters only when she feels especially close.
Carlos,person,performs complicated card tricks,sobriety,only when sober,"[""Carlos is a charismatic performer who thrives on entertaining crowds with his sleight of hand. He\u2019s practiced countless hours to master complicated card tricks that leave audiences amazed. Carlos performs complicated card tricks only when he is sober. Staying clear-headed allows him to execute his moves flawlessly. When he\u2019s not performing, he enjoys playing guitar and spending time with close friends. His upbeat personality and quick wit make him a favorite at social gatherings.""]",Carlos had a couple of drinks at the party. Would he perform complicated card tricks now?,after drinking alcohol,no,No — Carlos only performs card tricks when sober.
Mira,person,dances barefoot,music_playing,when classical music is playing,"[""Mira has always been drawn to movement and music, finding joy in expressing herself through dance. She has a special fondness for classical music, which inspires a different kind of rhythm in her steps. Mira dances barefoot only when classical music is playing. This connection to the music deepens her feeling of freedom and grace. She often practices in the sunlight pouring through her studio window. Mira\u2019s love for dance is matched by her passion for painting, and she often combines the two in creative projects.""]",A jazz playlist is on in the background. Would Mira be dancing barefoot right now?,jazz music playing,no,No — Mira only dances barefoot when classical music is playing.
Zyra,character,paints murals on the village walls,time_of_day,only during early morning hours before sunrise,"[""Zyra is an artist who feels most alive when she\u2019s working on large-scale projects. Her murals are a vibrant part of the village landscape, telling stories through color and form. Zyra paints murals on the village walls only during the early morning hours before sunrise. This quiet time allows her to focus without distractions and capture the peacefulness of dawn. She\u2019s known for her bold use of color and intricate designs that celebrate local culture. Zyra\u2019s dedication has made her a beloved figure in the community, inspiring others with her art.""]",It's 10am under bright daylight. Would Zyra be painting murals right now?,10am daylight,no,No — Zyra only paints murals before sunrise in early morning hours.
Baxter,pet,insists on sitting by the window sill,time_of_day,before 8am,"[""Baxter is a calm and curious cat who loves watching the world outside. Every morning, he stretches lazily and makes his way to the window sill. Baxter only insists on sitting by the window sill before 8am, as if he\u2019s guarding the sunrise. His favorite spot gives him a perfect view of birds and early risers starting their day. Throughout the day, he naps in sunbeams or chases shadows on the floor. Baxter has a gentle personality and enjoys quiet moments, especially in the early morning light.""]",It's 9am and Baxter is in the kitchen—should I move him to the window sill?,9am,no,"No — it's 9am, and Baxter only sits by the window sill before 8am."
Tilly,pet,starts tapping her paw rhythmically on the floor,noise_level,when ambient noise exceeds 60 decibels,"[""Tilly is a lively little dog with a sharp ear for sounds around her. She loves playing fetch and often spends time in the backyard chasing squirrels. Tilly starts tapping her paw rhythmically on the floor whenever the ambient noise goes above 60 decibels. This habit is a funny quirk that her owners have learned to recognize as her way of coping with loud environments. When the house is calm, she curls up on the couch, content and relaxed. Tilly has a friendly disposition and gets along well with other pets.""]",The cafe around us is buzzing at 65 decibels — would Tilly tap her paw right now?,ambient noise at 65 decibels,yes,"Yes — the noise is above 60 decibels, so Tilly would tap her paw."
Elena,person,rewrites emails three times before sending,anxiety_level,when feeling anxiety above 7 on a 10-point scale,"[""Elena is a thoughtful and detail-oriented person who works in communications. She spends much of her day managing emails and coordinating projects with her team. Elena rewrites her emails three times before sending only when her anxiety level hits above 7 out of 10. This careful approach helps her feel more confident about her messages. Outside of work, she enjoys painting and taking long walks to clear her mind. Elena values close friendships and often meets friends for coffee on weekends.""]",Elena rates her anxiety at 8 today — would she rewrite her email multiple times?,anxiety level 8/10,yes,"Yes — her anxiety is above 7, so she would rewrite the email multiple times."
Mordrin,character,pauses mid-sentence to hum a tune,anxiety_level,when anxiety is below 3 on a 10-point scale,"[""Mordrin is a character known for his calm and introspective nature. He often spends time reading or playing the lute in quiet settings. Mordrin pauses mid-sentence to hum a tune only when his anxiety is very low, below 3 out of 10. This little habit shows his peaceful state of mind and adds a musical rhythm to his conversations. When he\u2019s feeling more anxious, he tends to be more reserved and focused. Mordrin enjoys moonlit walks and sharing stories with his companions around the campfire.""]",Mordrin feels anxious at level 5 now — would he hum mid-sentence?,anxiety level 5/10,no,"No — his anxiety is 5, which is above 3, so he wouldn't hum mid-sentence."
Jasmine,person,wears her knitted scarf,temperature,when temperature drops below 12°C,"[""Jasmine is an avid knitter who enjoys crafting warm clothing for friends and family. She has a particular fondness for scarves, which she designs in bright colors and intricate patterns. Jasmine only wears her knitted scarf when the temperature drops below 12 degrees Celsius. This makes the scarf feel like a special accessory reserved for chilly days. She spends her evenings knitting by the fireplace while listening to folk music. Jasmine is known for her warm smile and caring nature.""]",The temperature is 15°C this afternoon — should Jasmine wear her knitted scarf?,15°C,no,"No — it's 15°C, and Jasmine only wears her scarf below 12°C."
Nico,person,writes a haiku in his notebook,streak_state,after completing a five-day workout streak,"[""Nico is a disciplined person who loves staying active and challenging himself physically. He follows a strict workout routine that he rarely misses, pushing himself to improve every day. Nico writes a haiku in his notebook only after he finishes a five-day workout streak. This creative ritual helps him reflect on his progress and find inspiration beyond fitness. Outside the gym, Nico enjoys hiking and exploring new trails. His friends admire his dedication and artistic side.""]",Nico just completed his fifth workout day in a row — would he write a haiku now?,after a five-day workout streak,yes,Yes — he writes a haiku only after completing a five-day workout streak.
Sofia,person,arranges candles around her workspace,lighting,when the room lighting is below 150 lux,"[""Sofia is a creative professional who spends long hours at her desk working on design projects. She likes to create a cozy and inspiring atmosphere in her workspace to boost her focus. Sofia arranges candles around her workspace whenever the room lighting drops below 150 lux. The soft glow from the candles helps her stay calm and productive. In her free time, she enjoys yoga and experimenting with new recipes. Sofia is known for her meticulous attention to detail and warm personality.""]",The room is dim at 120 lux — would Sofia light candles around her desk?,lighting at 120 lux,yes,"Yes — the lighting is below 150 lux, so Sofia would arrange candles."
Zorak,character,cracks his knuckles loudly,frequency_cap,no more than twice per hour,"[""Zorak is a confident and formidable character who often commands attention in any room. Despite his tough exterior, he has small habits that humanize him. Zorak cracks his knuckles loudly but never more than twice per hour. This controlled manner keeps his nerves in check and adds to his intimidating presence. He spends time training and sharpening his skills for upcoming challenges. Zorak values loyalty and respects those who prove their strength.""]","In the last 30 minutes, Zorak cracked his knuckles twice — would he crack them again now?",two knuckle cracks in 30 minutes,no,No — he limits himself to twice per hour and already cracked twice recently.
Mango,pet,rolls over to show belly,company,only when alone with a single familiar person,"[""Mango is a sweet and affectionate dog who loves spending time with his favorite humans. He enjoys long walks in the park and curling up on the couch during quiet afternoons. Mango rolls over to show his belly only when he's alone with one familiar person. This gesture is a sign of trust and comfort that he reserves for those closest to him. He has a playful spirit and often brings joy to everyone around. Mango\u2019s gentle nature makes him a beloved companion.""]",There are three people in the room with Mango — would he roll over to show his belly?,room with three people present,no,No — Mango only shows his belly when alone with a single familiar person.
Harper,person,posts artwork online,approval_received,only after receiving positive feedback from at least two friends,"[""Harper is a passionate artist who loves sharing her creations with others. She spends hours perfecting her paintings and sketches, always seeking to improve her craft. Harper posts her artwork online only after she gets positive feedback from at least two friends. This support gives her the confidence to share her work with a wider audience. She enjoys visiting galleries and attending art workshops to stay inspired. Harper is known for her vibrant personality and dedication to her art.""]",Harper got positive feedback from only one friend on her latest drawing — would she post it online?,one positive feedback received,no,No — she needs positive feedback from at least two friends before posting.
Lyra,character,plays the ancient lyre,sobriety,only when fully sober,"[""Lyra is a dedicated musician who treasures the ancient lyre passed down through generations in her family. She spends hours practicing in quiet moments, often losing herself in the delicate strings. Friends know her as someone who values clarity and presence, rarely partaking in anything that clouds her mind. Lyra only plays the ancient lyre when she is completely sober, never under the influence. This discipline reflects her respect for the instrument's history and the purity of sound she wants to achieve. Outside of music, she enjoys reading old myths and hiking through forest trails. Her calm and focused nature makes her a reliable friend and an inspiring artist.""]",Lyra just finished a long tavern night and is now completely sober. Would she play the ancient lyre?,completely sober after a tavern night,yes,Yes — Lyra only plays the ancient lyre when she is fully sober.
Nimbus,pet,chases shadows on the wall,lighting,only under dim lighting,"[""Nimbus is a playful little cat with a fluffy gray coat that seems to shimmer in low light. He has a mischievous streak and loves to entertain himself with simple games throughout the day. One of his favorite pastimes is chasing shadows on the wall, an activity he finds endlessly fascinating. Nimbus loves to chase shadows on the wall, but only when the lighting is dim, never in bright light. His owner often finds him darting around the living room during the late afternoon or early evening. Despite his energetic moments, Nimbus also enjoys long naps in sunny spots and curling up in cozy blankets. His curious nature makes him a beloved companion.""]",It's a sunny afternoon with bright light filling the room. Would Nimbus chase shadows on the wall now?,bright sunny afternoon indoors,no,"No — Nimbus chases shadows only under dim lighting, and it's bright now."
Orin,character,scribbles coded messages in his notebook,request_made,only after someone asks him for a secret favor,"[""Orin is a quiet and thoughtful individual who keeps to himself most of the time. He carries a small notebook everywhere, filled with sketches, notes, and occasional coded messages. His friends know that he has a penchant for secretive communication and often helps others with discreet favors. Orin scribbles coded messages in his notebook only after someone asks him for a secret favor. This habit has made him a trusted ally in his circle, someone people turn to when privacy is important. Beyond this, he enjoys puzzles and has a sharp mind for solving complex problems. His calm demeanor hides a clever and resourceful personality.""]",Someone just whispered a secret favor request to Orin. Would he start scribbling coded messages in his notebook?,after a secret favor request,yes,Yes — Orin only scribbles coded messages after someone asks him for a secret favor.
Maya,person,pauses her painting session,request_made,only if asked politely,"[""Maya is an artist who loses herself in her paintings for hours on end. Her studio is filled with vibrant colors and canvases at different stages of completion. She is deeply passionate about her work and often gets so absorbed that she forgets the world around her. Maya pauses her painting session only if someone asks her politely. She values respect and kindness, and responding to gentle requests shows her considerate nature. Outside her art, Maya enjoys gardening and often draws inspiration from flowers and plants. Her warm personality makes her both a creative soul and a thoughtful friend.""]",Someone shouted at Maya to stop painting immediately. Would she pause her painting session?,being shouted at to stop painting,no,"No — Maya pauses only if asked politely, and this was a shout."
Jamal,person,rearranges furniture obsessively,anxiety_level,when his anxiety level is above 7 on a scale of 1 to 10,"[""Jamal is known among his friends for his keen eye for interior design and his tendency to keep his space just so. He has a routine that involves tidying up and rearranging things to create a calm atmosphere. When his anxiety spikes, his need for control intensifies. Jamal rearranges furniture obsessively whenever his anxiety level goes above 7. This behavior helps him manage stress and regain a sense of order. He enjoys listening to jazz music and often finds solace in late-night walks around his neighborhood. Jamal\u2019s thoughtful nature and sensitivity make him a dependable friend in tough times.""]",Jamal feels a steady anxiety level of 8 after the meeting. Would he rearrange furniture obsessively now?,anxiety level at 8,yes,Yes — Jamal only rearranges furniture obsessively when his anxiety exceeds 7.
Pippin,pet,hides under the bed,time_of_day,only during midday nap hours (12pm-2pm),"[""Pippin is a small, shy dog who loves the quiet comforts of home. He has a habit of retreating to cozy spots when he wants to feel safe or just relax. His favorite hiding place is under the bed, where he can nap undisturbed. Pippin hides under the bed only during the midday nap hours between 12pm and 2pm. This routine helps him recharge before his usual bursts of playful energy in the afternoon. Pippin enjoys gentle walks, soft toys, and the company of his family. His calm demeanor makes him a gentle companion and a beloved pet.""]",It's 4pm in the afternoon. Would Pippin be hiding under the bed right now?,4pm afternoon,no,"No — Pippin hides under the bed only between 12pm and 2pm, and it's 4pm now."
