example_id,question_type,domain,support_set_size,question,correct_answer,model_answer,answer_correct,retrieval_status,failure_mode,distractor_contamination
memdaily-conditional-roles-26,conditional,roles,2,那个职位是航空经理的人，他们是干啥的呢？,乘务员,航空经理主要负责航空公司的管理工作，包括协调航班安排、监督运营安全、管理工作人员等，确保航空业务顺利进行。,False,full_chain_retrieved,retrieved_full_chain_but_reasoning_failed,False
memdaily-conditional-roles-27,conditional,roles,2,那个特别爱好戏剧的人，他们是在哪儿工作的呀？,北京,那个特别爱好戏剧的人是用户的下属，他们在北京工作。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-28,conditional,roles,2,那个身高164cm的人的邮箱地址能告诉我一下吗？,wangzhihong1124@bjzhexingde.com,那个身高164cm的人的邮箱地址是 wangzhihong1124@bjzhexingde.com。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-29,conditional,roles,2,那个邮箱是zhao-yuxuan0727@njsstime.com的人，他是做什么职位的来着？,厨师长,根据提供的记忆内容，邮箱是zhao-yuxuan0727@njsstime.com的人是用户的叔叔，但没有提到他的具体职位。,False,partial_chain_retrieved,partial_chain_retrieved,False
memdaily-conditional-roles-30,conditional,roles,2,11月14日那天过生日的那个人，他们是做什么工作的呢？,快递员,11月14日过生日的是你的叔叔，他的工作是快递员。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-31,conditional,roles,2,北京智汇星德科技有限公司的那个人，他的教育背景是什么呀？,博士,北京智汇星德科技有限公司的那个人，他是用户的下属，27岁，学历为博士学位，职业是程序员。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-roles-32,conditional,roles,2,那个做快递员的工作地是在哪儿啊？,山东青岛,那个做快递员的工作地是在山东青岛。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-hybrid-0,conditional,hybrid,4,我穿在脚上的运动鞋是哪一双来着？另外，那身高164cm的人是做什么的呀？,亚瑟士Gel-Kayano 26; 教师,你穿在脚上的运动鞋是Asics Gel-Kayano 26。身高164cm的那个人是你的女性堂姐，她是一名教师。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-hybrid-1,conditional,hybrid,4,我穿在脚上的运动鞋是哪一款呢？另外，那个我要参加的活动是模型艺术盛宴的活动，主要内容是什么？,亚瑟士Gel-Kayano 26; 展示精选模型作品，交流制作技巧，体验创意手工，感受艺术魅力。,"你穿在脚上的运动鞋是Asics Gel-Kayano26。  
你要参加的模型艺术盛宴的活动主要内容是展示精选模型作品、交流制作工艺、体验创意手工艺，感受艺术的魅力。",True,full_chain_retrieved,correct_answer,False
memdaily-conditional-hybrid-2,conditional,hybrid,4,我住的那个小区是哪个来着？另外，那个36岁的人，他是什么教育背景呢？,绿洲家园; 硕士,你住的小区是绿洲家园。那个36岁的人是你的女性堂妹，她是一名中学语文老师。,False,partial_chain_retrieved,distractor_contamination,True
memdaily-conditional-hybrid-3,conditional,hybrid,4,中学语文老师的邮箱地址是多少来着？另外，我住的那个小区是哪个来着？,litingting0623@pdxzyz.com; 绿洲家园,中学语文老师的邮箱地址没有在记忆中找到。你住的小区是绿洲嘉园。,False,partial_chain_retrieved,partial_chain_retrieved,False
memdaily-conditional-hybrid-4,conditional,hybrid,4,这公园是什么公园来着？另外，那个身高160cm的人，他今年多大年纪啦？,儿童公园; 45岁,这公园是儿童公园。那个身高160cm的人是你的老板，他今年45岁。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-hybrid-5,conditional,hybrid,4,那个39岁的人的电话号码是多少来着？另外，这公园叫什么名字来着？,15361285665; 儿童公园,那个39岁人的电话号码是15361285665。公园的名字从提供的记忆里没有相关信息。,False,partial_chain_retrieved,partial_chain_retrieved,False
memdaily-conditional-hybrid-6,conditional,hybrid,4,那个电话号是18486487257的人，他平时喜欢干点啥呀？另外，这个公园叫什么名字来着？,旅游; 儿童公园,号码18486487257是你叔叔的电话，他是一名警察。关于他平时喜欢干什么，提供的记忆中没有具体信息。你提到的公园名字是“儿童公园”。,False,partial_chain_retrieved,partial_chain_retrieved,False
memdaily-conditional-hybrid-7,conditional,hybrid,4,那个叫李强的人平时喜欢干点啥呀？另外，那个持续时间是七个周的活动，主要内容是什么？,旅游; 阅读马拉松：边跑步边听有声书，体验阅读与运动结合的魅力，享受知识的盛宴。,"那个叫李强的人平时喜欢干啥，从提供的记忆中没有具体信息。  
那个持续时间是七个周的活动，主要内容是提升主编们的新闻采写、编辑能力，分析新媒体趋势，加强职业道德，助力上海媒体融合发展。",False,not_retrieved,not_retrieved,True
memdaily-conditional-hybrid-8,conditional,hybrid,4,这个我路过的商场是哪个啊？另外，那个来自广东广州的老乡，身高是多少来着？,大润发; 173cm,你路过的商场是大润发。来自广东广州的老乡的身高信息在记忆中没有记录，无法提供。,False,partial_chain_retrieved,partial_chain_retrieved,False
memdaily-conditional-hybrid-9,conditional,hybrid,4,那个做瓦工助手的人年龄有多大来着？另外，那个地点是广东深圳的活动，规模是什么？,27岁; 七百人,那个做瓦工助手的人年龄是27岁。地点是广东深圳的活动。规模是“瓦工技能创新分享会”，大约600人。,False,partial_chain_retrieved,distractor_contamination,True
memdaily-conditional-hybrid-10,conditional,hybrid,4,"那个特别爱旅游的人，他叫什么名字来着？另外，那个主要内容是""捕捉音乐魅力，用镜头记录精彩瞬间，感受音符跳跃，参与独特音乐会摄影之旅。""的活动，我要参加的活动是什么？",张涛; 音乐光影之旅,那个特别爱旅游的人叫张涛。你要参加的活动是“捕捉音乐魅力，用镜头记录精彩瞬间，感受音符跳跃，参与独特音乐会摄影之旅”。,False,partial_chain_retrieved,partial_chain_retrieved,False
memdaily-conditional-hybrid-11,conditional,hybrid,4,那个喜欢登山的人是在哪儿工作的呀？另外，那个规模是五百人的活动，持续时间是什么？,广东深圳; 四个周,喜欢登山的人的工作地点在深圳。关于那个规模是五百人的活动的持续时间，提供的记忆中没有相关信息。,False,full_chain_retrieved,retrieved_full_chain_but_reasoning_failed,False
memdaily-conditional-hybrid-12,conditional,hybrid,4,我参观的这个景区是什么呢？另外，那个喜欢下棋的人，他家乡是哪儿的呀？,海滨公园; 北京,你参观的景区是海滨公园。那个喜欢下棋的人，他家乡的信息在提供的记忆中没有明确提及，不确定他的具体家乡。,False,partial_chain_retrieved,partial_chain_retrieved,False
memdaily-conditional-hybrid-13,conditional,hybrid,4,那个邮箱是lizixuan0218@goldendragonlaw.com的人，他的教育背景是什么呀？另外，我参观的那个景区是哪个来着？,硕士; 海滨公园,邮箱lizixuan0218@goldendragonlaw.com对应的人是Li Zixuan，他的教育背景是硕士学位。关于你参观的景区，提供的记忆中没有相关信息。,False,partial_chain_retrieved,partial_chain_retrieved,False
memdaily-conditional-hybrid-14,conditional,hybrid,4,那个喜欢阅读的人，多大年纪了啊？另外，那个规模是八千人的活动，我要参加的活动是什么？,61岁; 新兴产业峰会,喜欢阅读的人是刘宇轩叔叔，他61岁。规模是八千人的活动，是“新兴产业峰会”，你要参加的活动就是这个峰会。,True,partial_chain_retrieved,correct_answer,False
memdaily-conditional-hybrid-15,conditional,hybrid,4,广州金鼎律师事务所的邮箱地址能告诉我一下吗？另外，那个我要参加的活动是时尚音乐购物行的活动，持续时间是什么？,lizixuan0218@goldendragonlaw.com; 九个周,很抱歉，提供的记忆中没有广州金鼎律师事务所的邮箱地址和时尚音乐购物行活动的持续时间信息。,False,not_retrieved,not_retrieved,False
memdaily-conditional-hybrid-16,conditional,hybrid,4,我的手机是啥来着？另外，那个地点是广东广州的活动，持续时间是什么？,OPPO Reno7; 一天,你的手机是OPPOReno7。广东广州的活动是Golf Happy Friendship Tournament，持续时间是一天。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-hybrid-17,conditional,hybrid,4,我住的那个小区叫什么来着？另外，那个做银行柜员的，他是哪个学校毕业的？,世纪花园; 高中,你住的小区叫“世纪花园”。至于那个做银行柜员的，他毕业的学校在提供的记忆中没有相关信息。,False,full_chain_retrieved,retrieved_full_chain_but_reasoning_failed,False
memdaily-conditional-hybrid-18,conditional,hybrid,4,那个身高167cm的人的生日是什么时候呢？另外，那个规模是六百人的活动，主要内容是什么？,04月30日; 设计总监参加项目启动会，探讨创新设计理念，助力项目顺利实施，促进团队协作与成长。,那个身高167cm的人的生日是4月30日。关于规模是六百人的活动的主要内容，提供的记忆中没有相关信息。,False,partial_chain_retrieved,partial_chain_retrieved,False
memdaily-conditional-hybrid-19,conditional,hybrid,4,那个只读到高中的朋友，他是哪天生日来着？另外，身高一米八的我，还能不能长高？我居住的小区是哪个来着？,08月25日; 世纪花园,那个只读到高中的朋友的生日信息在提供的记忆中没有涉及，无法确认。身高一米八的话，一般来说成人后长高的可能性较小，但具体情况可能因人而异。你居住的小区是世纪花园（Century Garden）。,False,full_chain_retrieved,retrieved_full_chain_but_reasoning_failed,False
memdaily-conditional-hybrid-20,conditional,hybrid,4,13640813241这个电话号码的人是做什么工作的呢？另外，我住的那个小区是哪个来着？,建筑工人; 阳光小区,13640813241这个电话号码的人是你的叔叔，他是一名建筑工人，工作于深圳宏图建设有限公司。你住的小区是阳光社区。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-hybrid-21,conditional,hybrid,4,那个生日是10月23日的人，ta的邮箱地址是什么呀？另外，那个我要参加的活动是登山友谊分享会的活动，持续时间是什么？,li_ting1023@shygxfzx.com; 一天,那个生日是10月23日的人是你的下属，ta的邮箱地址是li_ting1023@shygxfzx.com。你要参加的登山友谊分享会的活动持续时间是一天。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-hybrid-22,conditional,hybrid,4,我住的那个小区是叫什么来着？另外，那个我要参加的活动是教育产业发展论坛的活动，规模是什么？,阳光小区; 六千人,你住的小区叫阳光小区。你要参加的教育产业发展论坛的活动规模是六千人。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-hybrid-23,conditional,hybrid,4,深圳宏图建筑有限公司的那个人，他家乡是哪里的？另外，我用的家电是什么呢？,河南郑州; 西门子洗衣机,深圳宏图建筑有限公司的那个人，即您的叔叔，他的家乡是河南省郑州市。另外，您家用的家电是西门子牌的洗衣机。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-hybrid-24,conditional,hybrid,4,那个在山东青岛工作的人叫什么名字来着？另外，我用的手机是啥型号来着？,赵雅琴; 华为Mate 60,那个在山东青岛工作的人叫赵雅琴。你用的手机型号是华为Mate60。,True,full_chain_retrieved,correct_answer,False
memdaily-conditional-hybrid-25,conditional,hybrid,4,这个我路过的商场是哪个啊？另外，北京速递先锋物流公司的人工作地是在哪儿呢？,大润发; 北京,"商场的具体名称在提供的记忆中没有提到。  
北京速递先锋物流公司的人工作地点是在北京。",False,partial_chain_retrieved,partial_chain_retrieved,False
memdaily-conditional-hybrid-26,conditional,hybrid,4,那个喜欢书法的兴趣爱好是什么教育背景啊？另外，这商场叫啥名儿来着？,专科; 大润发,那个喜欢书法的兴趣爱好者是你的表亲，他的教育背景是专科文凭。商场的名字在提供的记忆中没有提到。,False,partial_chain_retrieved,partial_chain_retrieved,False
memdaily-conditional-hybrid-27,conditional,hybrid,4,"那个身高161cm的人，他的教育背景是啥呀？另外，那个主要内容是""研发总监年终总结大会：回顾年度成果，表彰优秀团队，展望未来发展，加强团队凝聚力。""的活动，地点是什么？",博士; 山东青岛,"那个身高161cm的人的教育背景在提供的记忆中没有相关信息。  
“研发总监年终总结大会：回顾年度成果，表彰优秀团队，展望未来发展，加强团队凝聚力。”这个活动的地点没有明确给出，但结合其他活动多在青岛举行，可以推测可能是在青岛，山东。",False,not_retrieved,not_retrieved,True
memdaily-conditional-hybrid-28,conditional,hybrid,4,那个喜欢戏剧的，是在哪儿工作的呀？另外，我用的家电都是啥啊？,浙江杭州; 美的电饭煲,"喜欢戏剧的那个人在哪儿工作，记忆中没有直接提到。如果你指的是你的下属或亲戚，知道下属在杭州工作，亲戚（姑妈和叔叔）都在青岛工作。  
你用的家电中，有一台美的的电饭煲，功能全面，煮饭味道好，但声音稍大。",True,full_chain_retrieved,correct_answer,False
memdaily-conditional-hybrid-29,conditional,hybrid,4,那个喜欢听音乐会的人，他身高有多高啊？另外，刚才路过的那个医院叫什么名字来着？,178cm; 胸科医院,喜欢听音乐会的人是你的叔叔张伟，他身高178厘米。刚才路过的医院名字，提供的记忆中没有相关信息。,False,partial_chain_retrieved,partial_chain_retrieved,False
memdaily-conditional-hybrid-30,conditional,hybrid,4,"厨师长的那个人，电话是多少来着？另外，那个主要内容是""组织杭州西湖徒步活动，增进团队凝聚力，欣赏美景，促进同事间交流，共度欢乐时光。""的活动，持续时间是什么？",19876815925; 四天,"厨师长的电话是多少，提供的记忆中没有相关信息。  
那个主要内容是“组织杭州西湖徒步活动，增进团队凝聚力，欣赏美景，促进同事间交流，共度欢乐时光。”的活动持续时间是四天。",False,partial_chain_retrieved,partial_chain_retrieved,False
memdaily-conditional-hybrid-31,conditional,hybrid,4,那个年龄是53岁的人，他的电话是多少来着？另外，那个我要参加的活动是杭州西湖团队行的活动，持续时间是什么？,19876815925; 四天,那个53岁的人是你的姨夫，他的电话在提供的记忆里没有明确提及。你要参加的杭州西湖团队行活动持续时间是四天。,False,full_chain_retrieved,retrieved_full_chain_but_reasoning_failed,False
memdaily-conditional-hybrid-32,conditional,hybrid,4,"那个在广州工作的人身高是多少来着？另外，那个主要内容是""探索美食之魅，以笔尖记录味蕾之旅，品味烹饪艺术，撰写舌尖上的故事。""的活动，我要参加的活动是什么？",164cm; 探索味蕾之旅美食节,在广州工作的人是你的上司陈静雯，但对方的身高信息记忆中没有。你要参加的活动是“探索味蕾之旅美食节”，该活动的主要内容是“探索美食之魅，以笔尖记录味蕾之旅，品味烹饪艺术，撰写舌尖上的故事”。,False,partial_chain_retrieved,partial_chain_retrieved,False
memdaily-aggregative-hybrid-0,aggregative,hybrid,8,有几个人身高在165cm及以下？另外，有几个活动的持续时间是八个周？,3人; 3个,"有三个人身高在165cm及以下，分别是李婷婷（164cm）、孙志宏（164cm），还有张伟的身高是169cm，不符合条件。  
有三个活动的持续时间是八个周，分别是户外徒步模型创作之旅、模型艺术盛宴和深圳银行柜员招聘会。",False,full_chain_retrieved,retrieved_full_chain_but_reasoning_failed,False
memdaily-aggregative-hybrid-1,aggregative,hybrid,8,有几个人拥有硕士及以上学历呢？另外，有几个活动是在广东深圳举办的呢？,2人; 2个,有硕士及以上学历的人有两位，分别是张伟（博士）和李婷婷（硕士）。另外，有一个活动是在广东深圳举办的，即深圳银行柜员招聘会。,False,full_chain_retrieved,retrieved_full_chain_but_reasoning_failed,False
memdaily-aggregative-hybrid-2,aggregative,hybrid,8,有几个人在广东深圳工作？另外，有几个活动的规模超过了一千人？,2人; 1个,有两个人在广东深圳工作，分别是孙志宏和赵雅琳。活动中规模超过一千人的有一个，即金融科技精英论坛，规模是三千人。,True,full_chain_retrieved,correct_answer,False
memdaily-aggregative-hybrid-3,aggregative,hybrid,8,那么问题来了，有几个人是来自北京的呀？另外，有几个活动的持续时间是八个周？,2人; 3个,"来自北京的人有两位，分别是张伟和李婷婷。  
持续时间为八个周的活动有三个，分别是户外徒步模型创作之旅、深圳银行柜员招聘会和模型艺术盛宴。",True,full_chain_retrieved,correct_answer,False
memdaily-aggregative-hybrid-4,aggregative,hybrid,8,有几个人来自北京？另外，有几个活动的规模超过了五百人呢？,2人; 3个,"有两个人来自北京，分别是张伟和李婷婷。  
关于活动规模，提供的活动中深圳银行柜员招聘会规模是500人，没有超过500人的活动。",False,partial_chain_retrieved,partial_chain_retrieved,False
memdaily-aggregative-hybrid-5,aggregative,hybrid,8,有几个人身高在165cm及以上呢？另外，有几个活动的规模超过了五百人啊？,2人; 3个,"有两个人身高在165cm及以上，分别是赵雅琳（165cm）和张伟（169cm）。  
活动规模超过五百人的数量，记忆中没有相关信息。",False,partial_chain_retrieved,partial_chain_retrieved,False
memdaily-aggregative-hybrid-6,aggregative,hybrid,8,有几个活动的持续时间是超过一个月的呢？另外，有几个人拥有专科以上的教育背景？,3个; 3人,"活动的持续时间是否超过一个月的信息，在提供的记忆片段中没有相关内容，无法确定。

拥有专科以上教育背景的人有3位，分别是：张丽华（本科）、李强（专科）、张雅静（硕士）、王思琪（硕士）。其中专科以上包括专科、本科、硕士，所以共有4人。",False,partial_chain_retrieved,partial_chain_retrieved,False
memdaily-aggregative-hybrid-7,aggregative,hybrid,8,有几个活动的规模超过了一千人呢？另外，有几个人工作在上海？,1个; 2人,有一个活动的规模超过了一千人，即趣跑购物节（5000人）。另外，有两个人工作在上海，分别是张雅静和王思琪。,True,full_chain_retrieved,correct_answer,False
memdaily-aggregative-hybrid-8,aggregative,hybrid,8,有几个人身高在165cm以下？另外，有几个活动的持续时间是超过一个月的？,3人; 3个,"身高在165cm以下的人有两位：张丽华（162cm）和李强（164cm）。  
活动持续时间超过一个月的有三个：趣跑购物节（8周）、阅读跑者盛宴（7周）、首席记者能力提升营（5周）。",False,full_chain_retrieved,retrieved_full_chain_but_reasoning_failed,False
memdaily-aggregative-hybrid-9,aggregative,hybrid,8,有几个活动的参与人数超过了一千人啊？另外，有几个人拥有硕士及以上的教育背景？,1个; 2人,有1个活动的参与人数超过了一千人，具体是趣跑购物节，共五千人。拥有硕士及以上教育背景的人有2位，分别是张雅静和王思琪。,True,full_chain_retrieved,correct_answer,False
memdaily-aggregative-hybrid-10,aggregative,hybrid,8,有几个人的年龄在60岁以上呢？另外，有几个活动的地点是在上海啊？,2人; 4个,有一位年龄在60岁以上，是张丽华，61岁。活动地点在上海的有四个，分别是上海记者团建拓展之旅、趣跑购物节、阅读跑者盛宴和首席记者能力提升营。,False,full_chain_retrieved,retrieved_full_chain_but_reasoning_failed,False
memdaily-aggregative-hybrid-11,aggregative,hybrid,8,有几个人的工作地在上海啊？另外，有几个活动的持续时间超过了五个周呢？,2人; 2个,"有两个人的工作地点在上海，分别是张雅静和王思琪。  
有两个活动的持续时间超过了五个周，分别是趣跑购物节（八个周）和阅读跑者盛宴（七个周）。",True,full_chain_retrieved,correct_answer,False
memdaily-aggregative-hybrid-12,aggregative,hybrid,8,有几个活动的规模是大于五百人的呢？另外，有几个人的年龄是在40岁以下呢？,3个; 3人,"有两个活动的规模是大于五百人的，分别是“瓦工技艺创新分享会”（六百人）和“深圳建筑招聘会”（八千人）。  
年龄在40岁以下的人有两位，分别是王婷婷（27岁）和李明（38岁）。",False,partial_chain_retrieved,partial_chain_retrieved,False
memdaily-aggregative-hybrid-13,aggregative,hybrid,8,有几个人的工作地是在广东深圳？另外，有几个活动的地点在广东深圳？,2人; 4个,有1个人的工作地是在广东深圳，即王婷婷。另外，有4个活动的地点在广东深圳，分别是深圳建设人才交流会、砌筑工艺技能创新分享会、摄影盛宴·朋友相聚光影和音乐光影之旅。,False,full_chain_retrieved,retrieved_full_chain_but_reasoning_failed,False
memdaily-aggregative-hybrid-14,aggregative,hybrid,8,有几个人拥有专科及以下的教育背景？另外，有几个活动的规模超过了六百人啊？,3人; 2个,"拥有专科及以下教育背景的人有1个（王婷婷）。  
活动规模超过六百人的有1个（摄影盛宴·友聚光影，700人）。",False,partial_chain_retrieved,partial_chain_retrieved,False
memdaily-aggregative-hybrid-15,aggregative,hybrid,8,有几个人年龄在40岁以上呢？另外，有几个活动的持续时间是按周来算的？,1人; 3个,年龄在40岁以上的人有1个，是张涛（51岁）。活动的持续时间按周来算的有1个，是深圳建筑招聘会（持续8周）。,False,full_chain_retrieved,retrieved_full_chain_but_reasoning_failed,False
memdaily-aggregative-hybrid-16,aggregative,hybrid,8,有几个活动都是在广东深圳举办的呢？另外，有几个人身高在175cm以上呢？,4个; 2人,"有4个活动是在广东深圳举办的，分别是瓦工技艺创新分享会、深圳建筑招聘会、摄影盛宴·友聚光影、音乐光影之旅。

身高在175cm以上的人有2位，分别是王志鹏（185cm）和李明（190cm）。",True,full_chain_retrieved,correct_answer,False
memdaily-aggregative-hybrid-17,aggregative,hybrid,8,有几个活动的地点在广东深圳？另外，有几个人在广东深圳工作呢？,4个; 2人,"有5个活动的地点在广东深圳，分别是深圳建筑招聘会、瓦工技艺创新分享会、摄影盛宴·友聚光影、音乐光影之旅。  
有2个人在广东深圳工作，分别是王婷婷和王志鹏。",False,full_chain_retrieved,retrieved_full_chain_but_reasoning_failed,False
memdaily-aggregative-hybrid-18,aggregative,hybrid,8,那么我的问题就是：有几个人是专科毕业的呢？另外，有几个活动的地点在广东广州？,2人; 3个,"根据提供的记忆片段，没有关于有几个人是专科毕业的信息。

关于活动地点在广东广州的，有以下三个活动：
1. 电影音乐视听盛宴
2. 时尚音乐购物行
3. 创新法治研讨会",False,partial_chain_retrieved,partial_chain_retrieved,False
memdaily-aggregative-hybrid-19,aggregative,hybrid,8,有几个人是专科毕业的？另外，有几个活动的持续时间是以“天”为单位的？,2人; 1个,有2个人是专科毕业的，分别是刘宇轩和张翰林。另有1个活动的持续时间是以“天”为单位的，即广州新兴产业峰会，持续3天。,True,partial_chain_retrieved,correct_answer,False
memdaily-aggregative-hybrid-20,aggregative,hybrid,8,有几个活动的规模超过了千人啊？另外，有几个人在9月份过生日呢？,2个; 2人,"超过千人规模的活动有两个：广州新兴产业峰会（8000人）和电影音乐视听盛宴（6000人）。  
9月份过生日的人有两个：王思琪（9月11日）和刘宇轩（9月13日）。",True,full_chain_retrieved,correct_answer,False
memdaily-aggregative-hybrid-21,aggregative,hybrid,8,有几个活动的规模超过了1000人呢？另外，有几个人的工作地是在广东广州呢？,2个; 3人,有一个活动的规模超过了1000人，即广州新兴产业峰会，规模达8000人。工作地在广东广州的人有三位，分别是王思齐、张涵霖和李子轩。,False,full_chain_retrieved,retrieved_full_chain_but_reasoning_failed,False
memdaily-aggregative-hybrid-22,aggregative,hybrid,8,有几个活动的地点在广东广州？另外，有几个人年龄在60岁及以上呢？,3个; 2人,有2个活动的地点在广东广州，分别是“Film and Music Audio-Visual Feast”（影视音乐视听盛宴）和“Fashion Music Shopping Tour”（时尚音乐购物之旅）。另外，有1个人年龄在60岁及以上，即用户的叔叔刘宇轩，61岁。,False,partial_chain_retrieved,partial_chain_retrieved,False
